date,value
2010-01-03,760
2010-01-10,896
2010-01-17,892
2010-01-24,1235
2010-01-31,1811
2010-02-07,1927
2010-02-14,2160
2010-02-21,1969
2010-02-28,1989
2010-03-07,1651
2010-03-14,1476
2010-03-21,1039
2010-03-28,915
2010-04-04,875
2010-04-11,692
2010-04-18,522
2010-04-25,595
2010-05-02,477
2010-05-09,396
2010-05-16,258
2010-05-23,204
2010-05-30,210
2010-06-06,276
2010-06-13,185
2010-06-20,185
2010-06-27,194
2010-07-04,211
2010-07-11,160
2010-07-18,197
2010-07-25,165
2010-08-01,114
2010-08-08,105
2010-08-15,94
2010-08-22,78
2010-08-29,114
2010-09-05,121
2010-09-12,151
2010-09-19,200
2010-09-26,172
2010-10-03,164
2010-10-10,202
2010-10-17,262
2010-10-24,319
2010-10-31,535
2010-11-07,621
2010-11-14,786
2010-11-21,849
2010-11-28,960
2010-12-05,1196
2010-12-12,1174
2010-12-19,1592
2010-12-26,1831
2011-01-02,2139
2011-01-09,2060
2011-01-16,2007
2011-01-23,1594
2011-01-30,1457
2011-02-06,1410
2011-02-13,1189
2011-02-20,912
2011-02-27,771
2011-03-06,689
2011-03-13,641
2011-03-20,651
2011-03-27,548
2011-04-03,453
2011-04-10,321
2011-04-17,204
2011-04-24,127
2011-05-01,93
2011-05-08,102
2011-05-15,68
2011-05-22,53
2011-05-29,50
2011-06-05,30
2011-06-12,33
2011-06-19,18
2011-06-26,18
2011-07-03,14
2011-07-10,15
2011-07-17,16
2011-07-24,10
2011-07-31,10
2011-08-07,18
2011-08-14,13
2011-08-21,9
2011-08-28,10
2011-09-04,9
2011-09-11,11
2011-09-18,7
2011-09-25,11
2011-10-02,9
2011-10-09,11
2011-10-16,12
2011-10-23,18
2011-10-30,24
2011-11-06,13
2011-11-13,34
2011-11-20,41
2011-11-27,51
2011-12-04,40
2011-12-11,41
2011-12-18,51
2011-12-25,51
2012-01-01,116
2012-01-08,78
2012-01-15,110
2012-01-22,76
2012-01-29,82
2012-02-05,83
2012-02-12,103
2012-02-19,105
2012-02-26,85
2012-03-04,63
2012-03-11,49
2012-03-18,46
2012-03-25,39
2012-04-01,41
2012-04-08,41
2012-04-15,24
2012-04-22,24
2012-04-29,17
2012-05-06,16
2012-05-13,28
2012-05-20,25
2012-05-27,18
2012-06-03,13
2012-06-10,14
2012-06-17,7
2012-06-24,14
2012-07-01,16
2012-07-08,13
2012-07-15,10
2012-07-22,7
2012-07-29,9
2012-08-05,6
2012-08-12,7
2012-08-19,15
2012-08-26,9
2012-09-02,6
2012-09-09,14
2012-09-16,13
2012-09-23,11
2012-09-30,15
2012-10-07,36
2012-10-14,28
2012-10-21,26
2012-10-28,60
2012-11-04,56
2012-11-11,54
2012-11-18,83
2012-11-25,112
2012-12-02,130
2012-12-09,174
2012-12-16,153
2012-12-23,129
2012-12-30,152
2013-01-06,185
2013-01-13,217
2013-01-20,218
2013-01-27,192
2013-02-03,164
2013-02-10,165
2013-02-17,171
2013-02-24,135
2013-03-03,115
2013-03-10,98
2013-03-17,95
2013-03-24,78
2013-03-31,60
2013-04-07,37
2013-04-14,40
2013-04-21,26
2013-04-28,25
2013-05-05,32
2013-05-12,22
2013-05-19,11
