date,value
2010-01-03,73
2010-01-10,98
2010-01-17,146
2010-01-24,162
2010-01-31,245
2010-02-07,227
2010-02-14,458
2010-02-21,670
2010-02-28,1005
2010-03-07,1552
2010-03-14,1757
2010-03-21,1979
2010-03-28,2350
2010-04-04,2098
2010-04-11,2103
2010-04-18,2136
2010-04-25,1897
2010-05-02,2114
2010-05-09,2128
2010-05-16,1776
2010-05-23,1741
2010-05-30,1845
2010-06-06,1763
2010-06-13,1649
2010-06-20,1384
2010-06-27,1532
2010-07-04,1255
2010-07-11,1186
2010-07-18,1016
2010-07-25,945
2010-08-01,794
2010-08-08,734
2010-08-15,813
2010-08-22,580
2010-08-29,579
2010-09-05,498
2010-09-12,434
2010-09-19,442
2010-09-26,363
2010-10-03,316
2010-10-10,345
2010-10-17,297
2010-10-24,295
2010-10-31,301
2010-11-07,293
2010-11-14,296
2010-11-21,167
2010-11-28,95
2010-12-05,145
2010-12-12,152
2010-12-19,111
2010-12-26,96
2011-01-02,127
2011-01-09,121
2011-01-16,126
2011-01-23,145
2011-01-30,187
2011-02-06,253
2011-02-13,238
2011-02-20,217
2011-02-27,244
2011-03-06,273
2011-03-13,333
2011-03-20,375
2011-03-27,388
2011-04-03,347
2011-04-10,277
2011-04-17,288
2011-04-24,235
2011-05-01,296
2011-05-08,304
2011-05-15,261
2011-05-22,179
2011-05-29,222
2011-06-05,201
2011-06-12,209
2011-06-19,132
2011-06-26,119
2011-07-03,102
2011-07-10,128
2011-07-17,96
2011-07-24,120
2011-07-31,111
2011-08-07,148
2011-08-14,129
2011-08-21,85
2011-08-28,101
2011-09-04,128
2011-09-11,114
2011-09-18,104
2011-09-25,112
2011-10-02,115
2011-10-09,100
2011-10-16,101
2011-10-23,116
2011-10-30,91
2011-11-06,84
2011-11-13,71
2011-11-20,124
2011-11-27,127
2011-12-04,156
2011-12-11,202
2011-12-18,189
2011-12-25,254
2012-01-01,262
2012-01-08,257
2012-01-15,303
2012-01-22,367
2012-01-29,386
2012-02-05,364
2012-02-12,370
2012-02-19,392
2012-02-26,565
2012-03-04,626
2012-03-11,754
2012-03-18,1119
2012-03-25,911
2012-04-01,1192
2012-04-08,1255
2012-04-15,1409
2012-04-22,1430
2012-04-29,1448
2012-05-06,1390
2012-05-13,1313
2012-05-20,998
2012-05-27,795
2012-06-03,813
2012-06-10,686
2012-06-17,688
2012-06-24,602
2012-07-01,700
2012-07-08,609
2012-07-15,657
2012-07-22,583
2012-07-29,679
2012-08-05,478
2012-08-12,402
2012-08-19,433
2012-08-26,442
2012-09-02,372
2012-09-09,285
2012-09-16,266
2012-09-23,228
2012-09-30,153
2012-10-07,130
2012-10-14,130
2012-10-21,128
2012-10-28,108
2012-11-04,141
2012-11-11,106
2012-11-18,109
2012-11-25,100
2012-12-02,81
2012-12-09,78
2012-12-16,45
2012-12-23,55
2012-12-30,58
2013-01-06,60
2013-01-13,57
2013-01-20,73
2013-01-27,73
2013-02-03,88
2013-02-10,80
2013-02-17,103
2013-02-24,138
2013-03-03,114
2013-03-10,107
2013-03-17,192
2013-03-24,166
2013-03-31,196
2013-04-07,262
2013-04-14,249
2013-04-21,236
2013-04-28,330
2013-05-05,471
2013-05-12,601
2013-05-19,629
2013-05-26,491
2013-06-02,500
2013-06-09,436
2013-06-16,379
2013-06-23,290
2013-06-30,246
2013-07-07,234
2013-07-14,231
2013-07-21,226
2013-07-28,230
2013-08-04,223
2013-08-11,198
2013-08-18,172
2013-08-25,192
2013-09-01,222
2013-09-08,191
2013-09-15,208
2013-09-22,223
2013-09-29,181
2013-10-06,158
2013-10-13,184
2013-10-20,176
2013-10-27,168
2013-11-03,168
2013-11-10,187
2013-11-17,191
2013-11-24,188
2013-12-01,185
2013-12-08,186
2013-12-15,170
2013-12-22,171
2013-12-29,96
2014-01-05,120
2014-01-12,157
2014-01-19,162
2014-01-26,117
2014-02-02,178
2014-02-09,177
2014-02-16,144
2014-02-23,172
2014-03-02,150
2014-03-09,193
2014-03-16,206
2014-03-23,251
2014-03-30,205
2014-04-06,269
2014-04-13,219
2014-04-20,285
2014-04-27,277
2014-05-04,337
2014-05-11,463
2014-05-18,443
2014-05-25,514
2014-06-01,518
2014-06-08,512
2014-06-15,467
2014-06-22,407
2014-06-29,507
2014-07-06,494
2014-07-13,438
2014-07-20,403
2014-07-27,352
2014-08-03,408
2014-08-10,343
2014-08-17,332
2014-08-24,297
2014-08-31,264
2014-09-07,227
2014-09-14,219
2014-09-21,203
2014-09-28,195
2014-10-05,158
2014-10-12,176
2014-10-19,178
2014-10-26,123
2014-11-02,130
2014-11-09,131
2014-11-16,128
2014-11-23,120
2014-11-30,85
2014-12-07,94
2014-12-14,80
2014-12-21,76
2014-12-28,66
2015-01-04,148
2015-01-11,188
2015-01-18,217
2015-01-25,273
2015-02-01,333
2015-02-08,246
2015-02-15,257
2015-02-22,226
2015-03-01,302
2015-03-08,358
2015-03-15,441
2015-03-22,419
2015-03-29,414
2015-04-05,528
2015-04-12,710
2015-04-19,680
2015-04-26,699
2015-05-03,885
2015-05-10,853
2015-05-17,827
2015-05-24,776
2015-05-31,675
2015-06-07,708
2015-06-14,701
2015-06-21,671
2015-06-28,636
2015-07-05,608
2015-07-12,566
2015-07-19,498
2015-07-26,430
2015-08-02,353
2015-08-09,329
2015-08-16,343
2015-08-23,323
2015-08-30,407
2015-09-06,367
2015-09-13,350
2015-09-20,391
2015-09-27,441
2015-10-04,445
2015-10-11,508
2015-10-18,688
2015-10-25,690
2015-11-01,751
2015-11-08,1202
2015-11-15,1297
2015-11-22,825
2015-11-29,863
2015-12-06,851
2015-12-13,726
2015-12-20,486
2015-12-27,461
