date,value
2010-01-03,155
2010-01-10,162
2010-01-17,60
2010-01-24,90
2010-01-31,96
2010-02-07,91
2010-02-14,99
2010-02-21,90
2010-02-28,135
2010-03-07,106
2010-03-14,83
2010-03-21,63
2010-03-28,43
2010-04-04,72
2010-04-11,74
2010-04-18,109
2010-04-25,69
2010-05-02,92
2010-05-09,124
2010-05-16,90
2010-05-23,83
2010-05-30,148
2010-06-06,173
2010-06-13,186
2010-06-20,117
2010-06-27,128
2010-07-04,162
2010-07-11,242
2010-07-18,170
2010-07-25,143
2010-08-01,143
2010-08-08,188
2010-08-15,128
2010-08-22,117
2010-08-29,97
2010-09-05,102
2010-09-12,76
2010-09-19,99
2010-09-26,126
2010-10-03,112
2010-10-10,113
2010-10-17,117
2010-10-24,76
2010-10-31,124
2010-11-07,175
2010-11-14,302
2010-11-21,353
2010-11-28,351
2010-12-05,440
2010-12-12,415
2010-12-19,478
2010-12-26,651
2011-01-02,1492
2011-01-09,1948
2011-01-16,2356
2011-01-23,3213
2011-01-30,3409
2011-02-06,4629
2011-02-13,5555
2011-02-20,7000
2011-02-27,6171
2011-03-06,5353
2011-03-13,4382
2011-03-20,3203
2011-03-27,2292
2011-04-03,1888
2011-04-10,1216
2011-04-17,827
2011-04-24,596
2011-05-01,569
2011-05-08,573
2011-05-15,533
2011-05-22,337
2011-05-29,309
2011-06-05,280
2011-06-12,251
2011-06-19,254
2011-06-26,192
2011-07-03,114
2011-07-10,139
2011-07-17,131
2011-07-24,136
2011-07-31,116
2011-08-07,118
2011-08-14,99
2011-08-21,77
2011-08-28,91
2011-09-04,62
2011-09-11,91
2011-09-18,55
2011-09-25,74
2011-10-02,69
2011-10-09,55
2011-10-16,62
2011-10-23,53
2011-10-30,60
2011-11-06,100
2011-11-13,153
2011-11-20,127
2011-11-27,164
2011-12-04,129
2011-12-11,125
2011-12-18,84
2011-12-25,128
2012-01-01,202
2012-01-08,198
2012-01-15,222
2012-01-22,199
2012-01-29,332
2012-02-05,476
