date,value
2010-01-03,34
2010-01-10,58
2010-01-17,33
2010-01-24,43
2010-01-31,89
2010-02-07,72
2010-02-14,92
2010-02-21,96
2010-02-28,93
2010-03-07,60
2010-03-14,46
2010-03-21,15
2010-03-28,36
2010-04-04,41
2010-04-11,43
2010-04-18,50
2010-04-25,63
2010-05-02,47
2010-05-09,81
2010-05-16,69
2010-05-23,67
2010-05-30,76
2010-06-06,65
2010-06-13,61
2010-06-20,45
2010-06-27,47
2010-07-04,66
2010-07-11,56
2010-07-18,65
2010-07-25,83
2010-08-01,126
2010-08-08,91
2010-08-15,121
2010-08-22,113
2010-08-29,94
2010-09-05,99
2010-09-12,76
2010-09-19,80
2010-09-26,57
2010-10-03,109
2010-10-10,78
2010-10-17,47
2010-10-24,71
2010-10-31,68
2010-11-07,41
2010-11-14,49
2010-11-21,28
2010-11-28,53
2010-12-05,32
2010-12-12,25
2010-12-19,27
2010-12-26,59
2011-01-02,89
2011-01-09,153
2011-01-16,129
2011-01-23,142
2011-01-30,173
2011-02-06,227
2011-02-13,171
2011-02-20,126
2011-02-27,103
2011-03-06,118
2011-03-13,148
2011-03-20,106
2011-03-27,102
2011-04-03,91
2011-04-10,50
2011-04-17,47
2011-04-24,37
2011-05-01,46
2011-05-08,27
2011-05-15,40
2011-05-22,21
2011-05-29,25
2011-06-05,20
2011-06-12,16
2011-06-19,11
2011-06-26,17
2011-07-03,11
2011-07-10,10
2011-07-17,5
2011-07-24,9
2011-07-31,15
2011-08-07,15
2011-08-14,16
2011-08-21,11
2011-08-28,11
2011-09-04,16
2011-09-11,12
2011-09-18,9
2011-09-25,18
2011-10-02,4
2011-10-09,14
2011-10-16,21
2011-10-23,3
2011-10-30,8
2011-11-06,4
2011-11-13,19
2011-11-20,7
2011-11-27,3
2011-12-04,1
2011-12-11,1
2011-12-18,7
2011-12-25,3
2012-01-01,9
2012-01-08,8
2012-01-15,8
2012-01-22,11
2012-01-29,13
2012-02-05,17
2012-02-12,10
2012-02-19,8
2012-02-26,7
2012-03-04,16
2012-03-11,6
2012-03-18,6
2012-03-25,5
2012-04-01,11
2012-04-08,13
2012-04-15,10
2012-04-22,10
2012-04-29,19
2012-05-06,10
2012-05-13,19
2012-05-20,13
2012-05-27,5
2012-06-03,10
2012-06-10,22
2012-06-17,15
2012-06-24,11
2012-07-01,18
2012-07-08,22
2012-07-15,20
2012-07-22,23
2012-07-29,36
2012-08-05,76
2012-08-12,49
2012-08-19,74
2012-08-26,67
2012-09-02,68
2012-09-09,86
2012-09-16,98
2012-09-23,86
2012-09-30,74
2012-10-07,75
2012-10-14,56
2012-10-21,46
2012-10-28,54
2012-11-04,65
2012-11-11,41
2012-11-18,46
2012-11-25,28
2012-12-02,47
2012-12-09,26
2012-12-16,26
2012-12-23,28
2012-12-30,72
2013-01-06,63
2013-01-13,52
2013-01-20,53
2013-01-27,68
2013-02-03,51
2013-02-10,65
2013-02-17,58
2013-02-24,68
2013-03-03,97
2013-03-10,90
2013-03-17,87
2013-03-24,100
2013-03-31,117
2013-04-07,103
2013-04-14,110
2013-04-21,56
2013-04-28,33
2013-05-05,50
2013-05-12,35
2013-05-19,20
2013-05-26,16
