date,value
2010-01-03,539
2010-01-10,564
2010-01-17,623
2010-01-24,634
2010-01-31,866
2010-02-07,737
2010-02-14,882
2010-02-21,1031
2010-02-28,1405
2010-03-07,1635
2010-03-14,1859
2010-03-21,1713
2010-03-28,1501
2010-04-04,2032
2010-04-11,1655
2010-04-18,1620
2010-04-25,2023
2010-05-02,2099
2010-05-09,2089
2010-05-16,2240
2010-05-23,2048
2010-05-30,1767
2010-06-06,1511
2010-06-13,1071
2010-06-20,872
2010-06-27,873
2010-07-04,830
2010-07-11,672
2010-07-18,572
2010-07-25,441
2010-08-01,431
2010-08-08,403
2010-08-15,398
2010-08-22,257
2010-08-29,283
2010-09-05,272
2010-09-12,253
2010-09-19,219
2010-09-26,236
2010-10-03,197
2010-10-10,194
2010-10-17,230
2010-10-24,193
2010-10-31,223
2010-11-07,312
2010-11-14,404
2010-11-21,443
2010-11-28,531
2010-12-05,577
2010-12-12,490
2010-12-19,419
2010-12-26,368
2011-01-02,585
2011-01-09,601
2011-01-16,695
2011-01-23,745
2011-01-30,895
2011-02-06,1085
2011-02-13,1119
2011-02-20,1054
2011-02-27,1084
2011-03-06,1302
2011-03-13,1660
2011-03-20,2004
2011-03-27,2034
2011-04-03,2173
2011-04-10,1836
2011-04-17,1516
2011-04-24,1643
2011-05-01,1556
2011-05-08,1577
2011-05-15,1268
2011-05-22,1164
2011-05-29,1190
2011-06-05,939
2011-06-12,728
2011-06-19,487
2011-06-26,608
2011-07-03,523
2011-07-10,490
2011-07-17,399
2011-07-24,354
2011-07-31,340
2011-08-07,295
2011-08-14,239
2011-08-21,211
2011-08-28,213
2011-09-04,190
2011-09-11,180
2011-09-18,179
2011-09-25,181
2011-10-02,214
2011-10-09,191
2011-10-16,189
2011-10-23,184
2011-10-30,238
2011-11-06,226
2011-11-13,233
2011-11-20,309
2011-11-27,340
2011-12-04,350
2011-12-11,527
2011-12-18,505
2011-12-25,449
2012-01-01,611
2012-01-08,833
2012-01-15,878
2012-01-22,857
2012-01-29,865
2012-02-05,1081
2012-02-12,1065
2012-02-19,1374
2012-02-26,1876
2012-03-04,2046
2012-03-11,2233
2012-03-18,2275
2012-03-25,2248
2012-04-01,2073
2012-04-08,2856
2012-04-15,2595
2012-04-22,2480
2012-04-29,2340
2012-05-06,2180
2012-05-13,1990
2012-05-20,1522
2012-05-27,1293
2012-06-03,1048
2012-06-10,982
2012-06-17,731
2012-06-24,599
2012-07-01,603
2012-07-08,602
2012-07-15,615
2012-07-22,471
2012-07-29,465
2012-08-05,372
2012-08-12,309
2012-08-19,269
2012-08-26,289
2012-09-02,203
2012-09-09,240
2012-09-16,187
2012-09-23,166
2012-09-30,183
2012-10-07,156
2012-10-14,152
2012-10-21,137
2012-10-28,154
2012-11-04,198
2012-11-11,232
2012-11-18,272
2012-11-25,312
2012-12-02,342
2012-12-09,326
2012-12-16,324
2012-12-23,426
2012-12-30,730
2013-01-06,1048
2013-01-13,1302
2013-01-20,1660
2013-01-27,1941
2013-02-03,2001
2013-02-10,2531
2013-02-17,3689
2013-02-24,3898
2013-03-03,4306
2013-03-10,4359
2013-03-17,4198
2013-03-24,3402
2013-03-31,3552
