date,value
2010-01-03,138
2010-01-10,173
2010-01-17,222
2010-01-24,241
2010-01-31,311
2010-02-07,338
2010-02-14,337
2010-02-21,418
2010-02-28,506
2010-03-07,475
2010-03-14,372
2010-03-21,353
2010-03-28,314
2010-04-04,315
2010-04-11,345
2010-04-18,351
2010-04-25,456
2010-05-02,446
2010-05-09,505
2010-05-16,581
2010-05-23,477
2010-05-30,477
2010-06-06,503
2010-06-13,530
2010-06-20,362
2010-06-27,387
2010-07-04,405
2010-07-11,400
2010-07-18,417
2010-07-25,358
2010-08-01,358
2010-08-08,366
2010-08-15,335
2010-08-22,305
2010-08-29,317
2010-09-05,362
2010-09-12,348
2010-09-19,299
2010-09-26,315
2010-10-03,414
2010-10-10,509
2010-10-17,443
2010-10-24,309
2010-10-31,372
2010-11-07,498
2010-11-14,605
2010-11-21,569
2010-11-28,777
2010-12-05,847
2010-12-12,730
2010-12-19,627
2010-12-26,772
2011-01-02,1131
2011-01-09,1127
2011-01-16,1288
2011-01-23,1456
2011-01-30,1765
2011-02-06,2027
2011-02-13,2328
2011-02-20,2418
2011-02-27,2527
2011-03-06,2803
2011-03-13,3471
2011-03-20,3747
2011-03-27,4052
2011-04-03,4653
2011-04-10,4193
2011-04-17,3408
2011-04-24,2991
2011-05-01,2616
2011-05-08,2420
2011-05-15,2139
2011-05-22,1639
2011-05-29,1227
2011-06-05,989
2011-06-12,700
2011-06-19,583
2011-06-26,476
2011-07-03,364
2011-07-10,301
2011-07-17,275
2011-07-24,282
2011-07-31,226
2011-08-07,176
2011-08-14,190
2011-08-21,170
2011-08-28,135
2011-09-04,158
2011-09-11,143
2011-09-18,140
2011-09-25,139
2011-10-02,135
2011-10-09,118
2011-10-16,127
2011-10-23,112
2011-10-30,138
2011-11-06,121
2011-11-13,117
2011-11-20,138
2011-11-27,177
2011-12-04,208
2011-12-11,174
2011-12-18,187
2011-12-25,198
2012-01-01,274
2012-01-08,412
2012-01-15,541
2012-01-22,524
2012-01-29,554
2012-02-05,608
2012-02-12,566
2012-02-19,568
2012-02-26,767
2012-03-04,906
2012-03-11,1156
2012-03-18,1201
2012-03-25,1306
2012-04-01,1467
2012-04-08,1999
2012-04-15,2840
2012-04-22,3591
2012-04-29,5092
2012-05-06,6752
2012-05-13,6666
2012-05-20,4707
2012-05-27,2954
2012-06-03,2004
2012-06-10,1621
2012-06-17,1061
2012-06-24,765
2012-07-01,601
2012-07-08,470
2012-07-15,368
2012-07-22,320
2012-07-29,261
2012-08-05,181
2012-08-12,198
2012-08-19,150
2012-08-26,108
2012-09-02,113
2012-09-09,79
2012-09-16,100
2012-09-23,66
2012-09-30,61
2012-10-07,86
2012-10-14,76
2012-10-21,71
2012-10-28,66
2012-11-04,80
2012-11-11,80
2012-11-18,105
2012-11-25,79
2012-12-02,99
2012-12-09,77
2012-12-16,58
2012-12-23,65
2012-12-30,98
2013-01-06,148
2013-01-13,206
2013-01-20,294
2013-01-27,373
2013-02-03,331
2013-02-10,317
2013-02-17,478
2013-02-24,583
2013-03-03,672
2013-03-10,700
2013-03-17,574
2013-03-24,586
2013-03-31,928
2013-04-07,1123
2013-04-14,1151
2013-04-21,1205
2013-04-28,1151
2013-05-05,1146
2013-05-12,1177
2013-05-19,1153
2013-05-26,935
2013-06-02,1025
2013-06-09,1024
2013-06-16,1167
2013-06-23,938
2013-06-30,1112
2013-07-07,1067
2013-07-14,943
2013-07-21,812
2013-07-28,939
2013-08-04,901
2013-08-11,774
2013-08-18,666
2013-08-25,456
2013-09-01,403
2013-09-08,323
2013-09-15,272
