date,value
2010-01-03,107
2010-01-10,219
2010-01-17,284
2010-01-24,372
2010-01-31,474
2010-02-07,536
2010-02-14,676
2010-02-21,905
2010-02-28,1005
2010-03-07,787
2010-03-14,950
2010-03-21,934
2010-03-28,899
2010-04-04,1023
2010-04-11,850
2010-04-18,724
2010-04-25,837
2010-05-02,972
2010-05-09,751
2010-05-16,642
2010-05-23,612
2010-05-30,407
2010-06-06,217
2010-06-13,187
2010-06-20,119
2010-06-27,97
2010-07-04,63
2010-07-11,63
2010-07-18,50
2010-07-25,36
2010-08-01,41
2010-08-08,31
2010-08-15,20
2010-08-22,23
2010-08-29,17
2010-09-05,21
2010-09-12,16
2010-09-19,26
2010-09-26,31
2010-10-03,30
2010-10-10,15
2010-10-17,20
2010-10-24,13
2010-10-31,21
2010-11-07,17
2010-11-14,22
2010-11-21,18
2010-11-28,17
2010-12-05,27
2010-12-12,34
2010-12-19,39
2010-12-26,38
2011-01-02,57
2011-01-09,69
2011-01-16,90
2011-01-23,94
2011-01-30,106
2011-02-06,118
2011-02-13,106
2011-02-20,94
2011-02-27,123
2011-03-06,144
2011-03-13,130
2011-03-20,176
2011-03-27,164
2011-04-03,169
2011-04-10,184
2011-04-17,148
2011-04-24,166
2011-05-01,151
2011-05-08,179
2011-05-15,148
2011-05-22,103
2011-05-29,79
2011-06-05,72
2011-06-12,56
2011-06-19,47
2011-06-26,22
2011-07-03,25
2011-07-10,26
2011-07-17,30
2011-07-24,40
2011-07-31,33
2011-08-07,36
2011-08-14,26
2011-08-21,22
2011-08-28,37
2011-09-04,13
2011-09-11,36
2011-09-18,40
2011-09-25,35
2011-10-02,13
2011-10-09,40
2011-10-16,26
2011-10-23,23
2011-10-30,23
2011-11-06,30
2011-11-13,26
2011-11-20,28
2011-11-27,29
2011-12-04,36
2011-12-11,29
2011-12-18,20
2011-12-25,27
2012-01-01,28
2012-01-08,38
2012-01-15,43
2012-01-22,42
2012-01-29,31
2012-02-05,49
2012-02-12,28
2012-02-19,37
2012-02-26,49
2012-03-04,60
2012-03-11,58
2012-03-18,38
2012-03-25,66
2012-04-01,39
2012-04-08,72
2012-04-15,65
2012-04-22,60
2012-04-29,79
2012-05-06,78
2012-05-13,39
2012-05-20,49
2012-05-27,46
2012-06-03,43
2012-06-10,52
2012-06-17,31
2012-06-24,27
2012-07-01,35
2012-07-08,35
2012-07-15,33
2012-07-22,28
2012-07-29,26
2012-08-05,23
2012-08-12,20
2012-08-19,23
2012-08-26,16
2012-09-02,18
2012-09-09,22
2012-09-16,10
2012-09-23,17
2012-09-30,11
2012-10-07,21
2012-10-14,20
2012-10-21,16
2012-10-28,10
2012-11-04,10
2012-11-11,17
2012-11-18,26
2012-11-25,23
2012-12-02,15
2012-12-09,31
2012-12-16,38
2012-12-23,56
2012-12-30,196
2013-01-06,172
2013-01-13,170
2013-01-20,223
2013-01-27,218
2013-02-03,232
2013-02-10,293
2013-02-17,468
2013-02-24,544
2013-03-03,568
2013-03-10,763
2013-03-17,965
2013-03-24,905
2013-03-31,1245
2013-04-07,1363
2013-04-14,1237
2013-04-21,1119
2013-04-28,1060
2013-05-05,1141
2013-05-12,1130
2013-05-19,990
2013-05-26,845
2013-06-02,765
2013-06-09,631
2013-06-16,422
2013-06-23,348
2013-06-30,318
2013-07-07,288
2013-07-14,211
2013-07-21,176
2013-07-28,170
2013-08-04,92
2013-08-11,77
2013-08-18,55
2013-08-25,56
2013-09-01,49
2013-09-08,52
2013-09-15,54
2013-09-22,38
2013-09-29,43
2013-10-06,23
2013-10-13,22
2013-10-20,34
2013-10-27,50
2013-11-03,37
2013-11-10,38
2013-11-17,50
2013-11-24,51
2013-12-01,51
2013-12-08,71
2013-12-15,71
2013-12-22,61
2013-12-29,126
2014-01-05,162
2014-01-12,214
2014-01-19,225
2014-01-26,235
2014-02-02,362
2014-02-09,316
2014-02-16,306
2014-02-23,313
2014-03-02,337
2014-03-09,397
2014-03-16,367
2014-03-23,411
2014-03-30,387
2014-04-06,450
2014-04-13,520
2014-04-20,657
2014-04-27,815
2014-05-04,939
2014-05-11,938
2014-05-18,825
2014-05-25,794
2014-06-01,659
2014-06-08,464
2014-06-15,374
2014-06-22,274
2014-06-29,250
2014-07-06,232
2014-07-13,142
