date,value
2010-01-03,164
2010-01-10,206
2010-01-17,211
2010-01-24,202
2010-01-31,230
2010-02-07,256
2010-02-14,319
2010-02-21,420
2010-02-28,585
2010-03-07,652
2010-03-14,925
2010-03-21,679
2010-03-28,794
2010-04-04,1065
2010-04-11,957
2010-04-18,1106
2010-04-25,1218
2010-05-02,1206
2010-05-09,1312
2010-05-16,1274
2010-05-23,1080
2010-05-30,945
2010-06-06,876
2010-06-13,714
2010-06-20,605
2010-06-27,496
2010-07-04,473
2010-07-11,426
2010-07-18,389
2010-07-25,350
2010-08-01,388
2010-08-08,354
2010-08-15,316
2010-08-22,257
2010-08-29,223
2010-09-05,166
2010-09-12,207
2010-09-19,179
2010-09-26,166
2010-10-03,142
2010-10-10,184
2010-10-17,182
2010-10-24,163
2010-10-31,185
2010-11-07,252
2010-11-14,327
2010-11-21,367
2010-11-28,430
2010-12-05,498
2010-12-12,474
2010-12-19,395
2010-12-26,397
2011-01-02,442
2011-01-09,557
2011-01-16,711
2011-01-23,809
2011-01-30,960
2011-02-06,1216
2011-02-13,1288
2011-02-20,1278
2011-02-27,1274
2011-03-06,1194
2011-03-13,1359
2011-03-20,1989
2011-03-27,1721
2011-04-03,2024
2011-04-10,1918
2011-04-17,1638
2011-04-24,1870
2011-05-01,2236
2011-05-08,2230
2011-05-15,1893
2011-05-22,1473
2011-05-29,1347
2011-06-05,1121
2011-06-12,783
2011-06-19,585
2011-06-26,551
2011-07-03,409
2011-07-10,285
2011-07-17,283
2011-07-24,264
2011-07-31,228
2011-08-07,203
2011-08-14,186
2011-08-21,102
2011-08-28,98
2011-09-04,95
2011-09-11,103
2011-09-18,90
2011-09-25,99
2011-10-02,69
2011-10-09,85
2011-10-16,92
2011-10-23,115
2011-10-30,159
2011-11-06,184
2011-11-13,135
2011-11-20,132
2011-11-27,139
2011-12-04,180
2011-12-11,203
2011-12-18,176
2011-12-25,138
2012-01-01,193
2012-01-08,221
2012-01-15,236
2012-01-22,214
2012-01-29,188
2012-02-05,201
2012-02-12,176
2012-02-19,201
2012-02-26,216
2012-03-04,207
2012-03-11,222
2012-03-18,248
2012-03-25,237
2012-04-01,245
2012-04-08,291
2012-04-15,296
2012-04-22,272
2012-04-29,252
2012-05-06,255
2012-05-13,222
2012-05-20,181
2012-05-27,277
2012-06-03,213
2012-06-10,244
2012-06-17,260
2012-06-24,232
2012-07-01,247
2012-07-08,195
2012-07-15,196
2012-07-22,174
2012-07-29,158
2012-08-05,150
2012-08-12,143
2012-08-19,117
2012-08-26,125
2012-09-02,112
2012-09-09,177
2012-09-16,137
2012-09-23,140
2012-09-30,190
2012-10-07,129
2012-10-14,182
2012-10-21,200
2012-10-28,163
2012-11-04,171
2012-11-11,189
2012-11-18,268
2012-11-25,365
2012-12-02,413
2012-12-09,544
2012-12-16,676
2012-12-23,851
2012-12-30,1119
2013-01-06,1509
2013-01-13,1644
2013-01-20,1836
2013-01-27,1752
2013-02-03,1874
2013-02-10,2333
2013-02-17,3217
2013-02-24,4015
2013-03-03,4067
2013-03-10,4310
2013-03-17,3663
2013-03-24,3511
2013-03-31,3635
2013-04-07,3305
2013-04-14,3548
2013-04-21,2995
2013-04-28,2788
2013-05-05,2596
2013-05-12,2412
2013-05-19,1645
2013-05-26,1060
2013-06-02,1039
2013-06-09,1067
2013-06-16,925
2013-06-23,732
2013-06-30,614
2013-07-07,447
2013-07-14,519
2013-07-21,386
2013-07-28,344
2013-08-04,318
2013-08-11,250
2013-08-18,269
2013-08-25,221
2013-09-01,244
2013-09-08,193
2013-09-15,218
2013-09-22,175
2013-09-29,163
2013-10-06,170
2013-10-13,171
2013-10-20,203
2013-10-27,147
2013-11-03,140
2013-11-10,158
2013-11-17,220
2013-11-24,177
2013-12-01,233
2013-12-08,253
2013-12-15,215
2013-12-22,295
2013-12-29,478
2014-01-05,584
2014-01-12,717
2014-01-19,654
2014-01-26,547
2014-02-02,506
2014-02-09,528
2014-02-16,562
2014-02-23,448
2014-03-02,519
2014-03-09,528
2014-03-16,554
2014-03-23,511
2014-03-30,529
2014-04-06,628
2014-04-13,516
2014-04-20,671
2014-04-27,556
2014-05-04,564
2014-05-11,550
2014-05-18,544
