date,value
2010-01-03,5163
2010-01-10,6475
2010-01-17,6703
2010-01-24,6753
2010-01-31,6728
2010-02-07,5975
2010-02-14,5282
2010-02-21,4884
2010-02-28,4729
2010-03-07,4094
2010-03-14,4076
2010-03-21,3528
2010-03-28,3226
2010-04-04,3235
2010-04-11,2613
2010-04-18,2426
2010-04-25,2877
2010-05-02,2645
2010-05-09,1778
2010-05-16,1464
2010-05-23,1084
2010-05-30,863
2010-06-06,717
2010-06-13,552
2010-06-20,440
2010-06-27,328
2010-07-04,322
2010-07-11,256
2010-07-18,235
2010-07-25,261
2010-08-01,232
2010-08-08,279
2010-08-15,330
2010-08-22,298
2010-08-29,293
2010-09-05,349
2010-09-12,351
2010-09-19,442
2010-09-26,586
2010-10-03,528
2010-10-10,459
2010-10-17,505
2010-10-24,463
2010-10-31,468
2010-11-07,584
2010-11-14,684
2010-11-21,651
2010-11-28,814
2010-12-05,1055
2010-12-12,962
2010-12-19,690
2010-12-26,658
2011-01-02,828
2011-01-09,944
2011-01-16,1069
2011-01-23,1159
2011-01-30,1263
2011-02-06,1382
2011-02-13,1235
2011-02-20,1084
2011-02-27,1016
2011-03-06,1018
2011-03-13,1180
2011-03-20,1438
2011-03-27,1422
2011-04-03,1503
2011-04-10,1378
2011-04-17,1179
2011-04-24,1207
2011-05-01,1268
2011-05-08,1143
2011-05-15,994
2011-05-22,706
2011-05-29,581
2011-06-05,547
2011-06-12,348
2011-06-19,293
2011-06-26,230
2011-07-03,219
2011-07-10,224
2011-07-17,231
2011-07-24,192
2011-07-31,207
2011-08-07,190
2011-08-14,180
2011-08-21,182
2011-08-28,155
2011-09-04,155
2011-09-11,187
2011-09-18,246
2011-09-25,258
2011-10-02,290
2011-10-09,309
2011-10-16,352
2011-10-23,384
2011-10-30,329
2011-11-06,311
2011-11-13,373
2011-11-20,362
2011-11-27,475
2011-12-04,554
2011-12-11,496
2011-12-18,407
2011-12-25,343
2012-01-01,505
2012-01-08,537
2012-01-15,548
2012-01-22,553
2012-01-29,632
2012-02-05,640
2012-02-12,562
2012-02-19,586
2012-02-26,615
2012-03-04,606
2012-03-11,591
2012-03-18,618
2012-03-25,561
2012-04-01,464
2012-04-08,598
2012-04-15,687
2012-04-22,691
2012-04-29,777
2012-05-06,731
2012-05-13,599
2012-05-20,657
2012-05-27,537
2012-06-03,456
2012-06-10,621
2012-06-17,508
2012-06-24,360
2012-07-01,382
2012-07-08,301
2012-07-15,238
2012-07-22,258
2012-07-29,279
2012-08-05,230
2012-08-12,207
2012-08-19,214
2012-08-26,206
2012-09-02,213
2012-09-09,241
2012-09-16,221
2012-09-23,268
2012-09-30,303
2012-10-07,271
2012-10-14,307
2012-10-21,341
2012-10-28,308
2012-11-04,342
2012-11-11,356
2012-11-18,484
2012-11-25,599
2012-12-02,548
2012-12-09,767
2012-12-16,784
2012-12-23,1246
2012-12-30,3001
2013-01-06,4174
2013-01-13,5072
2013-01-20,5293
2013-01-27,6197
2013-02-03,5437
2013-02-10,5896
2013-02-17,8040
2013-02-24,8872
2013-03-03,8061
2013-03-10,7792
2013-03-17,7069
2013-03-24,5618
2013-03-31,6125
2013-04-07,6059
2013-04-14,5697
2013-04-21,4441
2013-04-28,3770
2013-05-05,3370
2013-05-12,3003
2013-05-19,2371
2013-05-26,1462
2013-06-02,1454
2013-06-09,1263
2013-06-16,1059
2013-06-23,755
2013-06-30,607
2013-07-07,504
2013-07-14,440
2013-07-21,298
2013-07-28,328
2013-08-04,351
2013-08-11,328
2013-08-18,332
2013-08-25,243
2013-09-01,273
2013-09-08,300
2013-09-15,273
2013-09-22,231
2013-09-29,330
2013-10-06,327
2013-10-13,387
2013-10-20,390
2013-10-27,348
2013-11-03,417
2013-11-10,536
2013-11-17,676
2013-11-24,631
2013-12-01,798
2013-12-08,842
2013-12-15,797
2013-12-22,799
2013-12-29,1269
2014-01-05,1692
2014-01-12,1865
2014-01-19,2430
2014-01-26,2815
2014-02-02,2855
2014-02-09,3045
2014-02-16,3040
2014-02-23,2517
2014-03-02,2487
2014-03-09,2886
2014-03-16,3341
2014-03-23,3536
2014-03-30,3529
2014-04-06,3754
2014-04-13,3327
2014-04-20,4131
2014-04-27,4030
2014-05-04,3894
2014-05-11,3650
