date,value
2010-01-03,13
2010-01-10,27
2010-01-17,35
2010-01-24,36
2010-01-31,40
2010-02-07,23
2010-02-14,43
2010-02-21,49
2010-02-28,60
2010-03-07,72
2010-03-14,81
2010-03-21,58
2010-03-28,52
2010-04-04,63
2010-04-11,68
2010-04-18,81
2010-04-25,100
2010-05-02,97
2010-05-09,117
2010-05-16,77
2010-05-23,85
2010-05-30,89
2010-06-06,118
2010-06-13,142
2010-06-20,99
2010-06-27,96
2010-07-04,126
2010-07-11,145
2010-07-18,168
2010-07-25,196
2010-08-01,264
2010-08-08,328
2010-08-15,367
2010-08-22,314
2010-08-29,252
2010-09-05,269
2010-09-12,193
2010-09-19,155
2010-09-26,156
2010-10-03,125
2010-10-10,119
2010-10-17,107
2010-10-24,53
2010-10-31,68
2010-11-07,74
2010-11-14,103
2010-11-21,72
2010-11-28,65
2010-12-05,79
2010-12-12,64
2010-12-19,80
2010-12-26,115
2011-01-02,180
2011-01-09,214
2011-01-16,286
2011-01-23,306
2011-01-30,420
2011-02-06,454
2011-02-13,472
2011-02-20,383
2011-02-27,326
2011-03-06,333
2011-03-13,444
2011-03-20,437
2011-03-27,398
2011-04-03,334
2011-04-10,264
2011-04-17,239
2011-04-24,224
2011-05-01,254
2011-05-08,358
2011-05-15,337
2011-05-22,298
2011-05-29,337
2011-06-05,364
2011-06-12,316
2011-06-19,280
2011-06-26,222
2011-07-03,229
2011-07-10,252
2011-07-17,232
2011-07-24,234
2011-07-31,282
2011-08-07,270
2011-08-14,253
2011-08-21,251
2011-08-28,165
2011-09-04,120
2011-09-11,104
2011-09-18,82
2011-09-25,52
2011-10-02,60
2011-10-09,52
2011-10-16,33
2011-10-23,59
2011-10-30,54
2011-11-06,42
2011-11-13,51
2011-11-20,77
2011-11-27,56
2011-12-04,72
2011-12-11,79
2011-12-18,82
2011-12-25,63
2012-01-01,119
2012-01-08,147
2012-01-15,133
2012-01-22,125
2012-01-29,162
2012-02-05,208
2012-02-12,161
2012-02-19,191
2012-02-26,230
2012-03-04,231
2012-03-11,266
2012-03-18,292
2012-03-25,222
2012-04-01,152
2012-04-08,192
2012-04-15,213
2012-04-22,169
2012-04-29,170
2012-05-06,153
2012-05-13,148
2012-05-20,124
2012-05-27,143
2012-06-03,108
2012-06-10,119
2012-06-17,103
2012-06-24,59
2012-07-01,70
2012-07-08,68
2012-07-15,79
2012-07-22,53
2012-07-29,40
