date,value
2010-01-03,2124
2010-01-10,2826
2010-01-17,3705
2010-01-24,5000
2010-01-31,5800
2010-02-07,6008
2010-02-14,7263
2010-02-21,9573
2010-02-28,11456
2010-03-07,11359
2010-03-14,13775
2010-03-21,13781
2010-03-28,14594
2010-04-04,17824
2010-04-11,13967
2010-04-18,12653
2010-04-25,14328
2010-05-02,13582
2010-05-09,9866
2010-05-16,6961
2010-05-23,4941
2010-05-30,3149
2010-06-06,1899
2010-06-13,1199
2010-06-20,843
2010-06-27,638
2010-07-04,499
2010-07-11,387
2010-07-18,302
2010-07-25,227
2010-08-01,196
2010-08-08,146
2010-08-15,135
2010-08-22,134
2010-08-29,113
2010-09-05,123
2010-09-12,130
2010-09-19,118
2010-09-26,129
2010-10-03,96
2010-10-10,83
2010-10-17,112
2010-10-24,90
2010-10-31,148
2010-11-07,162
2010-11-14,187
2010-11-21,243
2010-11-28,341
2010-12-05,388
2010-12-12,379
2010-12-19,413
2010-12-26,448
2011-01-02,690
2011-01-09,833
2011-01-16,951
2011-01-23,1133
2011-01-30,1311
2011-02-06,1439
2011-02-13,1560
2011-02-20,1388
2011-02-27,1220
2011-03-06,1404
2011-03-13,1764
2011-03-20,2055
2011-03-27,1862
2011-04-03,2114
2011-04-10,1991
2011-04-17,1894
2011-04-24,2034
2011-05-01,1998
2011-05-08,2018
2011-05-15,1526
2011-05-22,1019
2011-05-29,721
2011-06-05,531
2011-06-12,366
2011-06-19,262
2011-06-26,227
2011-07-03,182
2011-07-10,138
2011-07-17,114
2011-07-24,126
2011-07-31,110
2011-08-07,97
2011-08-14,98
2011-08-21,78
2011-08-28,82
2011-09-04,82
2011-09-11,103
2011-09-18,99
2011-09-25,102
2011-10-02,89
2011-10-09,86
2011-10-16,133
2011-10-23,142
2011-10-30,168
2011-11-06,199
2011-11-13,182
2011-11-20,236
2011-11-27,224
2011-12-04,301
2011-12-11,295
2011-12-18,339
2011-12-25,323
2012-01-01,397
2012-01-08,511
2012-01-15,566
2012-01-22,559
2012-01-29,602
2012-02-05,613
2012-02-12,534
2012-02-19,645
2012-02-26,745
2012-03-04,886
2012-03-11,843
2012-03-18,913
2012-03-25,886
2012-04-01,959
2012-04-08,1192
2012-04-15,1261
2012-04-22,1080
2012-04-29,1158
2012-05-06,978
2012-05-13,848
2012-05-20,664
2012-05-27,685
2012-06-03,604
2012-06-10,687
2012-06-17,531
2012-06-24,491
2012-07-01,364
2012-07-08,334
2012-07-15,236
2012-07-22,222
2012-07-29,176
2012-08-05,174
2012-08-12,147
2012-08-19,128
2012-08-26,111
2012-09-02,111
2012-09-09,117
2012-09-16,135
2012-09-23,141
2012-09-30,128
2012-10-07,97
2012-10-14,168
2012-10-21,189
2012-10-28,181
2012-11-04,228
2012-11-11,177
2012-11-18,350
2012-11-25,415
2012-12-02,742
2012-12-09,1138
2012-12-16,1689
2012-12-23,3020
2012-12-30,5084
2013-01-06,7468
2013-01-13,8626
2013-01-20,8920
2013-01-27,9797
2013-02-03,10396
2013-02-10,13163
2013-02-17,19216
2013-02-24,25770
2013-03-03,28204
2013-03-10,34896
2013-03-17,38607
2013-03-24,32138
2013-03-31,36709
2013-04-07,37143
2013-04-14,30627
2013-04-21,19865
2013-04-28,11946
2013-05-05,8819
2013-05-12,7484
2013-05-19,5858
2013-05-26,3281
2013-06-02,2584
2013-06-09,1938
2013-06-16,1382
2013-06-23,810
2013-06-30,589
2013-07-07,437
2013-07-14,350
2013-07-21,248
2013-07-28,191
2013-08-04,175
2013-08-11,123
2013-08-18,157
2013-08-25,136
2013-09-01,134
2013-09-08,131
2013-09-15,144
2013-09-22,164
2013-09-29,158
2013-10-06,161
2013-10-13,183
2013-10-20,199
2013-10-27,196
2013-11-03,205
2013-11-10,208
2013-11-17,318
2013-11-24,299
2013-12-01,345
2013-12-08,394
2013-12-15,412
2013-12-22,354
2013-12-29,542
2014-01-05,797
2014-01-12,977
2014-01-19,1258
2014-01-26,1562
2014-02-02,1946
2014-02-09,2287
2014-02-16,2325
2014-02-23,2061
2014-03-02,2134
2014-03-09,2275
2014-03-16,2743
2014-03-23,3035
2014-03-30,3104
2014-04-06,3640
2014-04-13,3642
2014-04-20,3902
2014-04-27,3177
2014-05-04,2650
2014-05-11,2282
2014-05-18,1889
2014-05-25,1626
2014-06-01,1276
2014-06-08,988
2014-06-15,612
2014-06-22,514
2014-06-29,366
2014-07-06,323
2014-07-13,224
2014-07-20,180
2014-07-27,170
2014-08-03,132
2014-08-10,130
2014-08-17,127
2014-08-24,110
2014-08-31,135
2014-09-07,159
2014-09-14,146
2014-09-21,139
2014-09-28,148
2014-10-05,146
2014-10-12,145
2014-10-19,156
2014-10-26,162
2014-11-02,217
2014-11-09,185
2014-11-16,234
2014-11-23,188
2014-11-30,264
2014-12-07,212
2014-12-14,202
2014-12-21,177
2014-12-28,308
2015-01-04,643
2015-01-11,1044
2015-01-18,1317
2015-01-25,1526
2015-02-01,2028
2015-02-08,1940
2015-02-15,2331
2015-02-22,3053
2015-03-01,4430
2015-03-08,5737
2015-03-15,6963
2015-03-22,7394
2015-03-29,9409
2015-04-05,13179
2015-04-12,13681
2015-04-19,15572
2015-04-26,17570
2015-05-03,15848
2015-05-10,13382
2015-05-17,9858
2015-05-24,6664
2015-05-31,4867
2015-06-07,4383
2015-06-14,3285
2015-06-21,2079
2015-06-28,1300
2015-07-05,1028
2015-07-12,728
2015-07-19,622
2015-07-26,448
2015-08-02,363
2015-08-09,309
2015-08-16,271
2015-08-23,218
2015-08-30,215
2015-09-06,195
2015-09-13,282
2015-09-20,254
2015-09-27,256
2015-10-04,277
2015-10-11,285
2015-10-18,351
2015-10-25,384
2015-11-01,514
2015-11-08,697
2015-11-15,1004
2015-11-22,1327
2015-11-29,1851
2015-12-06,2611
2015-12-13,3129
2015-12-20,3759
2015-12-27,5751
2016-01-03,10576
2016-01-10,12775
2016-01-17,14332
2016-01-24,17211
2016-01-31,21600
2016-02-07,26550
2016-02-14,38020
2016-02-21,42456
2016-02-28,39563
2016-03-06,38331
2016-03-13,37082
2016-03-20,31470
2016-03-27,34344
2016-04-03,35627
2016-04-10,30729
2016-04-17,24494
2016-04-24,20812
2016-05-01,15120
2016-05-08,9565
2016-05-15,6562
2016-05-22,3787
2016-05-29,2606
2016-06-05,1547
2016-06-12,985
2016-06-19,611
2016-06-26,392
2016-07-03,315
2016-07-10,247
2016-07-17,178
2016-07-24,147
2016-07-31,139
2016-08-07,136
2016-08-14,175
2016-08-21,148
2016-08-28,120
