date,value
2010-01-03,1859
2010-01-10,2406
2010-01-17,3031
2010-01-24,3553
2010-01-31,3842
2010-02-07,4771
2010-02-14,4484
2010-02-21,4276
2010-02-28,4490
2010-03-07,3947
2010-03-14,4499
2010-03-21,3906
2010-03-28,3295
2010-04-04,2892
2010-04-11,2194
2010-04-18,1984
2010-04-25,2036
2010-05-02,1564
2010-05-09,993
2010-05-16,464
2010-05-23,308
2010-05-30,195
2010-06-06,178
2010-06-13,150
2010-06-20,129
2010-06-27,151
2010-07-04,109
2010-07-11,50
2010-07-18,41
2010-07-25,52
2010-08-01,52
2010-08-08,33
2010-08-15,43
2010-08-22,52
2010-08-29,55
2010-09-05,61
2010-09-12,53
2010-09-19,60
2010-09-26,57
2010-10-03,53
2010-10-10,56
2010-10-17,48
2010-10-24,51
2010-10-31,79
2010-11-07,116
2010-11-14,86
2010-11-21,127
2010-11-28,114
2010-12-05,126
2010-12-12,135
2010-12-19,140
2010-12-26,134
2011-01-02,191
2011-01-09,194
2011-01-16,225
2011-01-23,299
2011-01-30,265
2011-02-06,269
2011-02-13,325
2011-02-20,299
2011-02-27,306
2011-03-06,349
2011-03-13,479
2011-03-20,540
2011-03-27,499
2011-04-03,508
2011-04-10,417
2011-04-17,369
2011-04-24,437
2011-05-01,319
2011-05-08,194
2011-05-15,196
2011-05-22,139
2011-05-29,98
2011-06-05,64
2011-06-12,37
2011-06-19,41
2011-06-26,16
2011-07-03,20
2011-07-10,19
2011-07-17,22
2011-07-24,22
2011-07-31,12
2011-08-07,22
2011-08-14,18
2011-08-21,16
2011-08-28,16
2011-09-04,21
2011-09-11,16
2011-09-18,15
2011-09-25,35
2011-10-02,24
2011-10-09,24
2011-10-16,30
2011-10-23,31
2011-10-30,23
2011-11-06,42
2011-11-13,47
2011-11-20,50
2011-11-27,41
2011-12-04,58
2011-12-11,66
2011-12-18,73
2011-12-25,50
2012-01-01,96
2012-01-08,113
2012-01-15,122
2012-01-22,132
2012-01-29,135
2012-02-05,126
2012-02-12,161
2012-02-19,149
2012-02-26,149
2012-03-04,149
2012-03-11,219
2012-03-18,225
2012-03-25,252
2012-04-01,255
2012-04-08,410
2012-04-15,454
2012-04-22,296
2012-04-29,248
2012-05-06,199
2012-05-13,169
2012-05-20,203
2012-05-27,162
2012-06-03,120
2012-06-10,92
2012-06-17,97
2012-06-24,77
2012-07-01,74
2012-07-08,52
2012-07-15,30
2012-07-22,25
2012-07-29,30
2012-08-05,26
2012-08-12,37
2012-08-19,27
2012-08-26,25
2012-09-02,25
2012-09-09,54
2012-09-16,56
2012-09-23,51
2012-09-30,35
2012-10-07,48
2012-10-14,51
2012-10-21,80
2012-10-28,112
2012-11-04,145
2012-11-11,256
2012-11-18,329
2012-11-25,356
2012-12-02,430
2012-12-09,610
2012-12-16,656
2012-12-23,1443
2012-12-30,2688
2013-01-06,4419
2013-01-13,6006
2013-01-20,7305
2013-01-27,7594
2013-02-03,6246
2013-02-10,5596
2013-02-17,5322
2013-02-24,4817
2013-03-03,4819
2013-03-10,3959
2013-03-17,3347
2013-03-24,2552
2013-03-31,2532
2013-04-07,2208
2013-04-14,2106
2013-04-21,1431
2013-04-28,1029
2013-05-05,974
2013-05-12,937
2013-05-19,573
2013-05-26,348
2013-06-02,249
2013-06-09,203
2013-06-16,194
2013-06-23,134
2013-06-30,160
2013-07-07,107
2013-07-14,86
2013-07-21,43
2013-07-28,66
2013-08-04,46
2013-08-11,44
2013-08-18,26
2013-08-25,36
2013-09-01,31
2013-09-08,39
2013-09-15,29
2013-09-22,32
2013-09-29,38
2013-10-06,23
2013-10-13,31
2013-10-20,37
2013-10-27,50
2013-11-03,57
2013-11-10,54
2013-11-17,75
2013-11-24,84
2013-12-01,67
2013-12-08,85
2013-12-15,55
2013-12-22,50
2013-12-29,62
2014-01-05,79
2014-01-12,96
2014-01-19,122
2014-01-26,151
2014-02-02,144
2014-02-09,173
2014-02-16,159
2014-02-23,105
2014-03-02,76
2014-03-09,109
2014-03-16,115
2014-03-23,130
2014-03-30,121
2014-04-06,100
2014-04-13,112
2014-04-20,126
2014-04-27,104
2014-05-04,112
2014-05-11,85
2014-05-18,63
2014-05-25,41
2014-06-01,36
2014-06-08,40
2014-06-15,31
2014-06-22,35
2014-06-29,43
2014-07-06,27
2014-07-13,18
2014-07-20,25
2014-07-27,29
2014-08-03,31
2014-08-10,20
2014-08-17,16
2014-08-24,15
2014-08-31,18
2014-09-07,23
2014-09-14,16
2014-09-21,30
2014-09-28,15
2014-10-05,35
2014-10-12,41
2014-10-19,46
2014-10-26,43
2014-11-02,36
2014-11-09,33
2014-11-16,44
2014-11-23,32
2014-11-30,47
2014-12-07,60
2014-12-14,39
2014-12-21,50
2014-12-28,70
2015-01-04,186
2015-01-11,296
2015-01-18,410
2015-01-25,485
2015-02-01,546
2015-02-08,599
2015-02-15,801
2015-02-22,853
2015-03-01,880
2015-03-08,992
2015-03-15,1268
2015-03-22,1416
2015-03-29,1316
2015-04-05,1622
2015-04-12,1345
2015-04-19,1363
2015-04-26,1405
2015-05-03,1090
2015-05-10,755
2015-05-17,586
2015-05-24,520
2015-05-31,408
2015-06-07,372
2015-06-14,332
2015-06-21,196
2015-06-28,125
2015-07-05,103
2015-07-12,83
2015-07-19,112
2015-07-26,95
2015-08-02,92
2015-08-09,81
2015-08-16,79
2015-08-23,92
2015-08-30,87
2015-09-06,94
2015-09-13,85
2015-09-20,106
2015-09-27,125
2015-10-04,113
2015-10-11,142
2015-10-18,197
2015-10-25,279
2015-11-01,356
2015-11-08,553
2015-11-15,711
2015-11-22,1008
2015-11-29,1525
2015-12-06,1604
2015-12-13,1754
2015-12-20,1655
2015-12-27,1967
2016-01-03,3352
2016-01-10,4041
2016-01-17,4553
2016-01-24,4065
2016-01-31,3899
2016-02-07,3691
2016-02-14,3497
2016-02-21,2902
2016-02-28,2656
2016-03-06,2203
2016-03-13,1745
2016-03-20,1662
2016-03-27,1630
2016-04-03,1270
2016-04-10,1221
2016-04-17,848
2016-04-24,533
2016-05-01,288
2016-05-08,175
2016-05-15,112
2016-05-22,77
2016-05-29,79
2016-06-05,42
2016-06-12,22
2016-06-19,32
2016-06-26,38
2016-07-03,22
2016-07-10,17
2016-07-17,15
2016-07-24,16
2016-07-31,24
2016-08-07,24
2016-08-14,28
2016-08-21,22
2016-08-28,18
2016-09-04,19
2016-09-11,23
2016-09-18,27
2016-09-25,25
2016-10-02,26
2016-10-09,26
2016-10-16,39
2016-10-23,17
2016-10-30,20
2016-11-06,25
2016-11-13,26
2016-11-20,22
2016-11-27,38
2016-12-04,43
2016-12-11,36
2016-12-18,42
2016-12-25,39
2017-01-01,50
2017-01-08,55
2017-01-15,70
2017-01-22,61
2017-01-29,87
2017-02-05,76
2017-02-12,65
2017-02-19,57
2017-02-26,52
2017-03-05,52
2017-03-12,54
2017-03-19,65
2017-03-26,57
2017-04-02,66
2017-04-09,47
2017-04-16,41
2017-04-23,32
2017-04-30,34
2017-05-07,34
2017-05-14,34
2017-05-21,32
2017-05-28,25
2017-06-04,21
2017-06-11,20
2017-06-18,29
2017-06-25,20
2017-07-02,15
2017-07-09,19
2017-07-16,7
2017-07-23,20
2017-07-30,19
2017-08-06,20
2017-08-13,15
2017-08-20,16
2017-08-27,19
2017-09-03,19
2017-09-10,30
2017-09-17,37
2017-09-24,24
2017-10-01,24
2017-10-08,34
2017-10-15,46
2017-10-22,38
2017-10-29,64
2017-11-05,66
2017-11-12,85
2017-11-19,74
2017-11-26,110
2017-12-03,79
2017-12-10,108
2017-12-17,80
2017-12-24,53
2017-12-31,93
2018-01-07,101
2018-01-14,129
2018-01-21,116
2018-01-28,91
2018-02-04,74
2018-02-11,76
2018-02-18,92
2018-02-25,77
2018-03-04,85
2018-03-11,73
2018-03-18,91
2018-03-25,71
2018-04-01,72
2018-04-08,77
2018-04-15,84
2018-04-22,62
2018-04-29,92
2018-05-06,83
2018-05-13,63
2018-05-20,43
2018-05-27,30
2018-06-03,47
2018-06-10,19
2018-06-17,37
2018-06-24,53
2018-07-01,34
2018-07-08,25
2018-07-15,19
2018-07-22,21
2018-07-29,15
2018-08-05,14
2018-08-12,7
2018-08-19,20
2018-08-26,18
2018-09-02,13
2018-09-09,10
2018-09-16,12
2018-09-23,30
2018-09-30,27
2018-10-07,23
2018-10-14,26
2018-10-21,24
2018-10-28,47
2018-11-04,112
2018-11-11,145
2018-11-18,293
2018-11-25,452
2018-12-02,644
2018-12-09,705
2018-12-16,477
2018-12-23,436
2018-12-30,415
2019-01-06,470
2019-01-13,697
2019-01-20,923
2019-01-27,1338
2019-02-03,1530
2019-02-10,1811
2019-02-17,2300
2019-02-24,3057
2019-03-03,3468
2019-03-10,4244
2019-03-17,4080
2019-03-24,4151
2019-03-31,3485
2019-04-07,4450
2019-04-14,3684
2019-04-21,3166
2019-04-28,3321
2019-05-05,3239
2019-05-12,2602
2019-05-19,1759
2019-05-26,1509
2019-06-02,1280
2019-06-09,1178
2019-06-16,1040
2019-06-23,733
2019-06-30,436
2019-07-07,346
2019-07-14,270
2019-07-21,214
2019-07-28,174
2019-08-04,113
2019-08-11,133
2019-08-18,122
2019-08-25,102
2019-09-01,64
2019-09-08,88
2019-09-15,78
2019-09-22,87
2019-09-29,104
2019-10-06,86
2019-10-13,112
2019-10-20,131
2019-10-27,141
2019-11-03,196
2019-11-10,194
2019-11-17,244
2019-11-24,248
2019-12-01,372
2019-12-08,363
2019-12-15,369
2019-12-22,367
2019-12-29,687
2020-01-05,1348
2020-01-12,2179
2020-01-19,3211
2020-01-26,3315
2020-02-02,3600
2020-02-09,3848
2020-02-16,3528
