date,value
2010-01-03,3563
2010-01-10,3578
2010-01-17,3470
2010-01-24,3221
2010-01-31,2888
2010-02-07,2304
2010-02-14,2062
2010-02-21,1776
2010-02-28,1679
2010-03-07,1413
2010-03-14,1209
2010-03-21,914
2010-03-28,663
2010-04-04,600
2010-04-11,505
2010-04-18,523
2010-04-25,477
2010-05-02,344
2010-05-09,190
2010-05-16,179
2010-05-23,170
2010-05-30,159
2010-06-06,152
2010-06-13,107
2010-06-20,95
2010-06-27,106
2010-07-04,105
2010-07-11,62
2010-07-18,83
2010-07-25,77
2010-08-01,76
2010-08-08,62
2010-08-15,55
2010-08-22,48
2010-08-29,66
2010-09-05,63
2010-09-12,87
2010-09-19,61
2010-09-26,66
2010-10-03,62
2010-10-10,60
2010-10-17,89
2010-10-24,73
2010-10-31,107
2010-11-07,135
2010-11-14,178
2010-11-21,199
2010-11-28,279
2010-12-05,356
2010-12-12,323
2010-12-19,186
2010-12-26,199
2011-01-02,280
2011-01-09,281
2011-01-16,286
2011-01-23,286
2011-01-30,230
2011-02-06,210
2011-02-13,210
2011-02-20,173
2011-02-27,182
2011-03-06,191
2011-03-13,186
2011-03-20,208
2011-03-27,234
2011-04-03,185
2011-04-10,185
2011-04-17,96
2011-04-24,84
2011-05-01,81
2011-05-08,77
2011-05-15,50
2011-05-22,51
2011-05-29,46
2011-06-05,59
2011-06-12,67
2011-06-19,52
2011-06-26,45
2011-07-03,33
2011-07-10,48
2011-07-17,54
2011-07-24,46
2011-07-31,37
2011-08-07,45
2011-08-14,44
2011-08-21,32
2011-08-28,56
2011-09-04,67
2011-09-11,56
2011-09-18,62
2011-09-25,62
2011-10-02,51
2011-10-09,54
2011-10-16,84
2011-10-23,62
2011-10-30,102
2011-11-06,102
2011-11-13,135
2011-11-20,162
2011-11-27,167
2011-12-04,188
2011-12-11,196
2011-12-18,163
2011-12-25,201
2012-01-01,306
2012-01-08,391
2012-01-15,440
2012-01-22,404
2012-01-29,610
2012-02-05,583
2012-02-12,707
2012-02-19,861
2012-02-26,1045
2012-03-04,1052
2012-03-11,1184
2012-03-18,1411
2012-03-25,1307
2012-04-01,1119
2012-04-08,1447
2012-04-15,1564
2012-04-22,1412
2012-04-29,1341
2012-05-06,1294
2012-05-13,1238
2012-05-20,1054
2012-05-27,939
2012-06-03,639
2012-06-10,611
2012-06-17,652
2012-06-24,569
2012-07-01,606
2012-07-08,421
2012-07-15,330
2012-07-22,317
2012-07-29,338
2012-08-05,306
2012-08-12,251
2012-08-19,195
2012-08-26,141
2012-09-02,102
2012-09-09,152
2012-09-16,148
2012-09-23,115
2012-09-30,195
2012-10-07,193
2012-10-14,238
2012-10-21,232
2012-10-28,236
2012-11-04,319
2012-11-11,362
2012-11-18,521
2012-11-25,565
2012-12-02,621
2012-12-09,764
2012-12-16,627
2012-12-23,967
2012-12-30,1550
2013-01-06,1922
2013-01-13,1983
2013-01-20,2355
2013-01-27,2169
2013-02-03,1890
2013-02-10,1893
2013-02-17,1941
2013-02-24,2262
2013-03-03,1772
2013-03-10,1764
2013-03-17,1480
2013-03-24,1186
2013-03-31,1304
2013-04-07,1111
2013-04-14,1069
2013-04-21,755
2013-04-28,669
2013-05-05,649
2013-05-12,555
2013-05-19,463
2013-05-26,284
2013-06-02,262
2013-06-09,232
2013-06-16,212
2013-06-23,177
2013-06-30,187
2013-07-07,163
2013-07-14,116
2013-07-21,92
2013-07-28,113
2013-08-04,116
2013-08-11,74
2013-08-18,81
2013-08-25,59
2013-09-01,81
2013-09-08,82
2013-09-15,81
2013-09-22,89
2013-09-29,83
2013-10-06,99
2013-10-13,97
2013-10-20,137
2013-10-27,106
2013-11-03,158
2013-11-10,161
2013-11-17,215
2013-11-24,212
2013-12-01,221
2013-12-08,194
2013-12-15,152
2013-12-22,128
2013-12-29,157
2014-01-05,218
2014-01-12,230
2014-01-19,271
2014-01-26,234
2014-02-02,290
2014-02-09,307
2014-02-16,329
2014-02-23,266
2014-03-02,241
2014-03-09,282
2014-03-16,279
2014-03-23,233
2014-03-30,259
2014-04-06,259
2014-04-13,178
2014-04-20,232
2014-04-27,169
2014-05-04,168
2014-05-11,165
2014-05-18,127
2014-05-25,101
2014-06-01,108
2014-06-08,92
2014-06-15,96
2014-06-22,70
2014-06-29,65
2014-07-06,61
2014-07-13,49
2014-07-20,60
2014-07-27,55
2014-08-03,40
2014-08-10,60
2014-08-17,51
2014-08-24,44
2014-08-31,55
2014-09-07,91
2014-09-14,80
2014-09-21,49
2014-09-28,68
2014-10-05,77
2014-10-12,59
2014-10-19,72
2014-10-26,59
2014-11-02,62
2014-11-09,67
2014-11-16,84
2014-11-23,99
2014-11-30,107
2014-12-07,84
2014-12-14,87
2014-12-21,53
2014-12-28,69
2015-01-04,152
2015-01-11,149
2015-01-18,222
2015-01-25,209
2015-02-01,253
2015-02-08,221
2015-02-15,282
2015-02-22,316
2015-03-01,373
2015-03-08,468
2015-03-15,522
2015-03-22,457
2015-03-29,570
2015-04-05,619
2015-04-12,737
2015-04-19,753
2015-04-26,770
2015-05-03,871
2015-05-10,876
2015-05-17,751
2015-05-24,719
2015-05-31,506
2015-06-07,504
2015-06-14,518
2015-06-21,365
2015-06-28,334
2015-07-05,292
2015-07-12,201
2015-07-19,222
2015-07-26,192
2015-08-02,192
2015-08-09,267
2015-08-16,260
2015-08-23,183
2015-08-30,196
2015-09-06,187
2015-09-13,169
2015-09-20,182
2015-09-27,201
2015-10-04,187
2015-10-11,228
2015-10-18,237
2015-10-25,235
2015-11-01,288
2015-11-08,384
2015-11-15,491
2015-11-22,713
2015-11-29,1087
2015-12-06,1120
2015-12-13,805
2015-12-20,690
2015-12-27,928
2016-01-03,1418
2016-01-10,1498
2016-01-17,1498
2016-01-24,1446
2016-01-31,1671
2016-02-07,1731
2016-02-14,1746
2016-02-21,1255
2016-02-28,1069
2016-03-06,846
2016-03-13,636
2016-03-20,538
2016-03-27,496
2016-04-03,371
2016-04-10,352
2016-04-17,223
2016-04-24,181
2016-05-01,186
2016-05-08,131
2016-05-15,86
2016-05-22,80
2016-05-29,101
2016-06-05,79
2016-06-12,59
