date,value
2010-01-03,115
2010-01-10,173
2010-01-17,176
2010-01-24,176
2010-01-31,240
2010-02-07,192
2010-02-14,258
2010-02-21,272
2010-02-28,401
2010-03-07,446
2010-03-14,514
2010-03-21,392
2010-03-28,332
2010-04-04,391
2010-04-11,308
2010-04-18,279
2010-04-25,263
2010-05-02,283
2010-05-09,290
2010-05-16,269
2010-05-23,263
2010-05-30,241
2010-06-06,263
2010-06-13,257
2010-06-20,196
2010-06-27,216
2010-07-04,195
2010-07-11,165
2010-07-18,219
2010-07-25,170
2010-08-01,265
2010-08-08,306
2010-08-15,317
2010-08-22,281
2010-08-29,252
2010-09-05,292
2010-09-12,227
2010-09-19,264
2010-09-26,260
2010-10-03,257
2010-10-10,344
2010-10-17,294
2010-10-24,257
2010-10-31,364
2010-11-07,382
2010-11-14,501
2010-11-21,578
2010-11-28,635
2010-12-05,523
2010-12-12,510
2010-12-19,430
2010-12-26,506
2011-01-02,679
2011-01-09,794
2011-01-16,865
2011-01-23,1066
2011-01-30,1243
2011-02-06,1167
2011-02-13,1138
2011-02-20,1030
2011-02-27,831
2011-03-06,764
2011-03-13,887
2011-03-20,788
2011-03-27,716
2011-04-03,597
2011-04-10,418
2011-04-17,270
2011-04-24,302
2011-05-01,246
2011-05-08,238
2011-05-15,192
2011-05-22,132
2011-05-29,139
2011-06-05,115
2011-06-12,93
2011-06-19,71
2011-06-26,102
2011-07-03,77
2011-07-10,54
2011-07-17,81
2011-07-24,72
2011-07-31,76
2011-08-07,82
2011-08-14,103
2011-08-21,82
2011-08-28,110
2011-09-04,99
2011-09-11,83
2011-09-18,101
2011-09-25,100
2011-10-02,61
2011-10-09,103
2011-10-16,102
2011-10-23,99
2011-10-30,156
2011-11-06,185
2011-11-13,287
2011-11-20,302
2011-11-27,256
2011-12-04,343
2011-12-11,385
2011-12-18,325
2011-12-25,293
2012-01-01,541
2012-01-08,534
2012-01-15,597
2012-01-22,667
2012-01-29,786
2012-02-05,911
2012-02-12,652
2012-02-19,647
2012-02-26,817
2012-03-04,807
2012-03-11,780
2012-03-18,694
2012-03-25,501
2012-04-01,463
2012-04-08,467
2012-04-15,426
2012-04-22,327
2012-04-29,289
2012-05-06,292
2012-05-13,248
2012-05-20,223
2012-05-27,148
2012-06-03,143
2012-06-10,198
2012-06-17,165
2012-06-24,163
2012-07-01,139
2012-07-08,168
2012-07-15,162
2012-07-22,175
2012-07-29,191
2012-08-05,233
2012-08-12,195
2012-08-19,196
2012-08-26,141
2012-09-02,125
2012-09-09,163
2012-09-16,122
2012-09-23,108
2012-09-30,99
2012-10-07,111
2012-10-14,78
2012-10-21,106
2012-10-28,127
2012-11-04,149
2012-11-11,176
2012-11-18,202
2012-11-25,196
2012-12-02,179
2012-12-09,135
2012-12-16,91
2012-12-23,91
2012-12-30,199
2013-01-06,287
2013-01-13,383
2013-01-20,492
2013-01-27,554
2013-02-03,394
2013-02-10,535
2013-02-17,532
2013-02-24,580
2013-03-03,430
2013-03-10,434
2013-03-17,465
2013-03-24,392
2013-03-31,431
2013-04-07,429
2013-04-14,370
2013-04-21,242
2013-04-28,239
2013-05-05,207
2013-05-12,182
2013-05-19,127
2013-05-26,96
2013-06-02,62
2013-06-09,56
2013-06-16,33
2013-06-23,26
2013-06-30,33
2013-07-07,18
2013-07-14,21
2013-07-21,23
2013-07-28,18
2013-08-04,24
2013-08-11,22
2013-08-18,26
2013-08-25,23
2013-09-01,25
2013-09-08,23
2013-09-15,22
2013-09-22,26
2013-09-29,35
2013-10-06,24
2013-10-13,24
2013-10-20,30
2013-10-27,58
2013-11-03,58
2013-11-10,55
2013-11-17,86
2013-11-24,86
2013-12-01,80
2013-12-08,89
2013-12-15,33
2013-12-22,48
2013-12-29,69
2014-01-05,104
2014-01-12,124
2014-01-19,164
2014-01-26,153
2014-02-02,138
2014-02-09,165
2014-02-16,174
2014-02-23,137
2014-03-02,165
2014-03-09,150
2014-03-16,191
2014-03-23,156
2014-03-30,175
2014-04-06,134
2014-04-13,115
2014-04-20,135
2014-04-27,130
2014-05-04,142
2014-05-11,102
2014-05-18,76
2014-05-25,93
2014-06-01,65
2014-06-08,55
2014-06-15,55
2014-06-22,52
2014-06-29,40
2014-07-06,41
2014-07-13,35
2014-07-20,49
2014-07-27,35
2014-08-03,36
2014-08-10,33
2014-08-17,33
2014-08-24,55
2014-08-31,52
2014-09-07,39
2014-09-14,39
2014-09-21,58
2014-09-28,63
2014-10-05,109
2014-10-12,64
2014-10-19,40
2014-10-26,54
2014-11-02,72
2014-11-09,47
2014-11-16,49
2014-11-23,48
2014-11-30,61
2014-12-07,54
2014-12-14,37
2014-12-21,30
2014-12-28,37
2015-01-04,70
2015-01-11,70
2015-01-18,83
2015-01-25,103
2015-02-01,134
2015-02-08,119
2015-02-15,182
2015-02-22,211
2015-03-01,255
2015-03-08,331
2015-03-15,305
2015-03-22,283
2015-03-29,202
2015-04-05,265
2015-04-12,256
2015-04-19,229
2015-04-26,221
2015-05-03,243
2015-05-10,219
2015-05-17,204
2015-05-24,159
2015-05-31,157
2015-06-07,142
2015-06-14,146
2015-06-21,102
2015-06-28,99
2015-07-05,98
2015-07-12,95
2015-07-19,98
2015-07-26,112
2015-08-02,129
2015-08-09,139
2015-08-16,122
2015-08-23,110
2015-08-30,104
2015-09-06,145
2015-09-13,98
2015-09-20,106
2015-09-27,104
2015-10-04,102
2015-10-11,101
2015-10-18,94
2015-10-25,70
2015-11-01,106
2015-11-08,111
2015-11-15,85
2015-11-22,159
2015-11-29,189
2015-12-06,240
2015-12-13,176
2015-12-20,106
2015-12-27,144
2016-01-03,218
2016-01-10,340
2016-01-17,374
2016-01-24,439
2016-01-31,443
2016-02-07,467
2016-02-14,688
2016-02-21,567
2016-02-28,522
2016-03-06,464
2016-03-13,417
2016-03-20,340
2016-03-27,417
2016-04-03,448
2016-04-10,475
2016-04-17,349
2016-04-24,284
2016-05-01,309
2016-05-08,304
2016-05-15,181
2016-05-22,132
2016-05-29,136
2016-06-05,104
2016-06-12,113
2016-06-19,104
2016-06-26,116
2016-07-03,96
2016-07-10,107
2016-07-17,75
2016-07-24,68
2016-07-31,81
2016-08-07,79
2016-08-14,74
2016-08-21,67
2016-08-28,63
2016-09-04,59
2016-09-11,80
2016-09-18,51
2016-09-25,48
2016-10-02,57
2016-10-09,88
2016-10-16,52
2016-10-23,58
2016-10-30,59
2016-11-06,53
2016-11-13,84
2016-11-20,56
2016-11-27,59
2016-12-04,91
2016-12-11,115
2016-12-18,123
2016-12-25,80
2017-01-01,180
2017-01-08,231
2017-01-15,369
2017-01-22,788
2017-01-29,901
2017-02-05,455
2017-02-12,494
2017-02-19,349
2017-02-26,400
2017-03-05,414
2017-03-12,398
2017-03-19,295
2017-03-26,192
2017-04-02,178
2017-04-09,128
2017-04-16,95
2017-04-23,77
2017-04-30,132
2017-05-07,116
2017-05-14,104
2017-05-21,62
2017-05-28,53
2017-06-04,58
2017-06-11,45
2017-06-18,59
2017-06-25,59
2017-07-02,55
2017-07-09,43
2017-07-16,43
2017-07-23,44
2017-07-30,48
2017-08-06,54
2017-08-13,53
2017-08-20,57
2017-08-27,29
2017-09-03,33
2017-09-10,35
2017-09-17,34
2017-09-24,50
2017-10-01,36
2017-10-08,51
2017-10-15,48
2017-10-22,44
2017-10-29,40
2017-11-05,54
2017-11-12,43
2017-11-19,37
2017-11-26,47
2017-12-03,39
2017-12-10,63
2017-12-17,28
2017-12-24,37
2017-12-31,49
2018-01-07,52
2018-01-14,68
2018-01-21,55
2018-01-28,67
2018-02-04,102
2018-02-11,114
2018-02-18,136
2018-02-25,153
2018-03-04,201
2018-03-11,211
2018-03-18,147
2018-03-25,113
2018-04-01,204
2018-04-08,161
2018-04-15,129
2018-04-22,98
2018-04-29,134
2018-05-06,122
2018-05-13,121
2018-05-20,74
2018-05-27,51
2018-06-03,66
2018-06-10,66
2018-06-17,38
2018-06-24,32
2018-07-01,21
2018-07-08,34
2018-07-15,24
2018-07-22,35
2018-07-29,40
2018-08-05,58
2018-08-12,55
2018-08-19,64
2018-08-26,42
2018-09-02,27
2018-09-09,30
2018-09-16,29
2018-09-23,19
2018-09-30,32
2018-10-07,19
2018-10-14,28
2018-10-21,11
2018-10-28,23
2018-11-04,30
2018-11-11,37
2018-11-18,55
2018-11-25,62
2018-12-02,49
2018-12-09,75
2018-12-16,33
2018-12-23,33
2018-12-30,73
2019-01-06,108
2019-01-13,141
2019-01-20,164
2019-01-27,175
2019-02-03,208
2019-02-10,238
2019-02-17,188
2019-02-24,141
2019-03-03,173
2019-03-10,211
2019-03-17,193
2019-03-24,177
2019-03-31,166
2019-04-07,169
2019-04-14,173
2019-04-21,146
2019-04-28,223
2019-05-05,134
2019-05-12,160
2019-05-19,135
2019-05-26,125
2019-06-02,86
2019-06-09,98
2019-06-16,74
2019-06-23,60
2019-06-30,53
2019-07-07,44
2019-07-14,44
2019-07-21,48
2019-07-28,47
2019-08-04,50
2019-08-11,50
2019-08-18,49
2019-08-25,66
2019-09-01,37
2019-09-08,55
2019-09-15,69
2019-09-22,68
2019-09-29,51
2019-10-06,77
2019-10-13,59
2019-10-20,51
2019-10-27,54
2019-11-03,66
2019-11-10,71
2019-11-17,70
2019-11-24,48
2019-12-01,53
2019-12-08,39
2019-12-15,43
2019-12-22,44
2019-12-29,88
2020-01-05,105
2020-01-12,153
2020-01-19,180
2020-01-26,195
2020-02-02,219
2020-02-09,230
2020-02-16,156
2020-02-23,147
2020-03-01,186
2020-03-08,193
2020-03-15,115
2020-03-22,101
2020-03-29,86
2020-04-05,93
2020-04-12,86
2020-04-19,84
2020-04-26,95
2020-05-03,108
2020-05-10,62
2020-05-17,78
2020-05-24,63
2020-05-31,37
2020-06-07,26
2020-06-14,41
2020-06-21,31
2020-06-28,22
2020-07-05,12
2020-07-12,20
2020-07-19,19
2020-07-26,16
2020-08-02,16
2020-08-09,20
2020-08-16,20
2020-08-23,24
2020-08-30,16
2020-09-06,13
2020-09-13,10
2020-09-20,14
2020-09-27,13
2020-10-04,12
2020-10-11,14
2020-10-18,16
2020-10-25,16
2020-11-01,28
2020-11-08,24
2020-11-15,33
2020-11-22,28
2020-11-29,40
2020-12-06,34
2020-12-13,24
2020-12-20,15
2020-12-27,2
2021-01-03,55
2021-01-10,67
2021-01-17,100
2021-01-24,97
2021-01-31,85
2021-02-07,87
2021-02-14,102
2021-02-21,90
2021-02-28,144
2021-03-07,145
2021-03-14,160
2021-03-21,88
2021-03-28,119
2021-04-04,110
2021-04-11,138
2021-04-18,123
2021-04-25,101
2021-05-02,91
2021-05-09,93
2021-05-16,91
2021-05-23,91
2021-05-30,78
2021-06-06,81
2021-06-13,62
2021-06-20,49
2021-06-27,46
2021-07-04,68
2021-07-11,32
2021-07-18,28
2021-07-25,24
2021-08-01,39
2021-08-08,41
2021-08-15,36
2021-08-22,33
2021-08-29,23
2021-09-05,22
2021-09-12,34
2021-09-19,24
2021-09-26,36
2021-10-03,18
2021-10-10,23
2021-10-17,34
2021-10-24,34
2021-10-31,62
2021-11-07,69
2021-11-14,173
2021-11-21,218
2021-11-28,389
2021-12-05,436
2021-12-12,255
2021-12-19,113
2021-12-26,18
2022-01-02,245
2022-01-09,290
2022-01-16,274
2022-01-23,179
2022-01-30,279
2022-02-06,223
2022-02-13,217
2022-02-20,163
2022-02-27,242
2022-03-06,204
2022-03-13,217
2022-03-20,198
2022-03-27,165
2022-04-03,168
2022-04-10,167
2022-04-17,200
2022-04-24,179
2022-05-01,206
2022-05-08,204
2022-05-15,158
2022-05-22,100
2022-05-29,101
2022-06-05,95
2022-06-12,78
2022-06-19,83
2022-06-26,90
2022-07-03,62
2022-07-10,58
2022-07-17,66
