date,value
2010-01-03,11
2010-01-10,20
2010-01-17,17
2010-01-24,47
2010-01-31,63
2010-02-07,54
2010-02-14,68
2010-02-21,53
2010-02-28,122
2010-03-07,113
2010-03-14,89
2010-03-21,76
2010-03-28,84
2010-04-04,88
2010-04-11,96
2010-04-18,117
2010-04-25,142
2010-05-02,158
2010-05-09,213
2010-05-16,258
2010-05-23,193
2010-05-30,268
2010-06-06,252
2010-06-13,200
2010-06-20,188
2010-06-27,281
2010-07-04,251
2010-07-11,227
2010-07-18,242
2010-07-25,193
2010-08-01,173
2010-08-08,166
2010-08-15,145
2010-08-22,163
2010-08-29,139
2010-09-05,132
2010-09-12,108
2010-09-19,145
2010-09-26,120
2010-10-03,109
2010-10-10,118
2010-10-17,97
2010-10-24,85
2010-10-31,92
2010-11-07,97
2010-11-14,93
2010-11-21,106
2010-11-28,81
2010-12-05,100
2010-12-12,93
2010-12-19,78
2010-12-26,108
2011-01-02,163
2011-01-09,145
2011-01-16,194
2011-01-23,223
2011-01-30,320
2011-02-06,370
2011-02-13,396
2011-02-20,477
2011-02-27,459
2011-03-06,598
2011-03-13,751
2011-03-20,799
2011-03-27,870
2011-04-03,703
2011-04-10,624
2011-04-17,462
2011-04-24,443
2011-05-01,400
2011-05-08,449
2011-05-15,446
2011-05-22,382
2011-05-29,392
2011-06-05,290
2011-06-12,293
2011-06-19,214
2011-06-26,216
2011-07-03,160
2011-07-10,139
2011-07-17,114
2011-07-24,117
2011-07-31,83
2011-08-07,75
2011-08-14,64
2011-08-21,50
2011-08-28,59
2011-09-04,52
2011-09-11,37
2011-09-18,40
2011-09-25,24
2011-10-02,33
2011-10-09,34
2011-10-16,21
2011-10-23,23
2011-10-30,26
2011-11-06,27
2011-11-13,32
2011-11-20,24
2011-11-27,28
2011-12-04,28
2011-12-11,28
2011-12-18,19
2011-12-25,14
2012-01-01,20
2012-01-08,25
2012-01-15,23
2012-01-22,41
2012-01-29,43
2012-02-05,57
2012-02-12,24
2012-02-19,54
2012-02-26,98
2012-03-04,108
2012-03-11,134
2012-03-18,197
2012-03-25,235
2012-04-01,245
2012-04-08,389
2012-04-15,471
2012-04-22,471
2012-04-29,469
2012-05-06,518
2012-05-13,512
2012-05-20,374
2012-05-27,290
2012-06-03,314
2012-06-10,294
2012-06-17,243
2012-06-24,257
2012-07-01,239
2012-07-08,249
2012-07-15,237
2012-07-22,213
2012-07-29,263
2012-08-05,213
2012-08-12,248
2012-08-19,155
2012-08-26,157
2012-09-02,117
2012-09-09,98
2012-09-16,82
2012-09-23,73
2012-09-30,62
2012-10-07,48
2012-10-14,59
2012-10-21,49
2012-10-28,36
2012-11-04,43
2012-11-11,39
2012-11-18,19
2012-11-25,30
2012-12-02,26
2012-12-09,42
2012-12-16,37
2012-12-23,38
2012-12-30,47
2013-01-06,64
2013-01-13,120
2013-01-20,146
2013-01-27,192
2013-02-03,187
2013-02-10,236
2013-02-17,258
2013-02-24,276
2013-03-03,315
2013-03-10,335
2013-03-17,258
2013-03-24,321
2013-03-31,407
2013-04-07,441
2013-04-14,485
2013-04-21,449
2013-04-28,508
2013-05-05,530
2013-05-12,562
2013-05-19,554
2013-05-26,495
2013-06-02,488
2013-06-09,478
2013-06-16,397
2013-06-23,351
2013-06-30,434
2013-07-07,380
2013-07-14,323
2013-07-21,387
2013-07-28,318
2013-08-04,297
2013-08-11,278
2013-08-18,312
2013-08-25,228
2013-09-01,223
2013-09-08,176
2013-09-15,139
2013-09-22,122
2013-09-29,127
2013-10-06,121
2013-10-13,105
2013-10-20,91
2013-10-27,78
2013-11-03,73
2013-11-10,84
2013-11-17,59
2013-11-24,55
2013-12-01,91
2013-12-08,76
2013-12-15,52
2013-12-22,56
2013-12-29,67
2014-01-05,91
2014-01-12,72
2014-01-19,84
2014-01-26,86
2014-02-02,123
2014-02-09,118
2014-02-16,105
2014-02-23,87
2014-03-02,95
2014-03-09,140
2014-03-16,115
2014-03-23,116
2014-03-30,173
2014-04-06,151
2014-04-13,156
2014-04-20,191
2014-04-27,201
2014-05-04,261
2014-05-11,240
2014-05-18,246
2014-05-25,238
2014-06-01,229
2014-06-08,167
2014-06-15,167
2014-06-22,139
2014-06-29,135
2014-07-06,133
2014-07-13,121
2014-07-20,126
2014-07-27,100
2014-08-03,76
2014-08-10,77
2014-08-17,74
2014-08-24,58
2014-08-31,68
2014-09-07,54
2014-09-14,56
2014-09-21,50
2014-09-28,65
2014-10-05,60
2014-10-12,64
2014-10-19,58
2014-10-26,43
2014-11-02,69
2014-11-09,43
2014-11-16,34
2014-11-23,38
2014-11-30,63
2014-12-07,49
2014-12-14,41
2014-12-21,27
2014-12-28,31
2015-01-04,59
2015-01-11,45
2015-01-18,71
2015-01-25,91
2015-02-01,109
2015-02-08,121
2015-02-15,160
2015-02-22,263
2015-03-01,365
2015-03-08,522
2015-03-15,601
2015-03-22,665
2015-03-29,674
2015-04-05,907
2015-04-12,935
2015-04-19,1004
2015-04-26,991
2015-05-03,1379
2015-05-10,1413
2015-05-17,1432
2015-05-24,1211
2015-05-31,1055
2015-06-07,728
2015-06-14,511
2015-06-21,466
2015-06-28,475
2015-07-05,476
2015-07-12,468
2015-07-19,380
2015-07-26,260
2015-08-02,231
2015-08-09,182
2015-08-16,169
2015-08-23,133
2015-08-30,103
2015-09-06,107
2015-09-13,95
2015-09-20,92
2015-09-27,55
2015-10-04,60
2015-10-11,44
2015-10-18,48
2015-10-25,51
2015-11-01,70
2015-11-08,72
2015-11-15,147
2015-11-22,232
2015-11-29,475
2015-12-06,834
2015-12-13,738
2015-12-20,828
2015-12-27,673
2016-01-03,849
2016-01-10,932
2016-01-17,1195
2016-01-24,1428
2016-01-31,1269
2016-02-07,1404
2016-02-14,2084
2016-02-21,1881
2016-02-28,2307
2016-03-06,2415
2016-03-13,2204
2016-03-20,1905
2016-03-27,1962
2016-04-03,1785
2016-04-10,1673
2016-04-17,1177
2016-04-24,1020
2016-05-01,1104
2016-05-08,947
2016-05-15,1043
2016-05-22,780
2016-05-29,703
2016-06-05,616
2016-06-12,520
2016-06-19,432
2016-06-26,337
2016-07-03,266
2016-07-10,190
2016-07-17,175
2016-07-24,107
2016-07-31,66
2016-08-07,60
2016-08-14,59
2016-08-21,46
2016-08-28,44
2016-09-04,28
2016-09-11,28
2016-09-18,24
2016-09-25,17
2016-10-02,9
2016-10-09,14
2016-10-16,17
2016-10-23,29
2016-10-30,19
2016-11-06,19
2016-11-13,15
2016-11-20,17
2016-11-27,13
2016-12-04,16
2016-12-11,11
2016-12-18,23
2016-12-25,13
2017-01-01,41
2017-01-08,36
2017-01-15,46
2017-01-22,37
2017-01-29,57
2017-02-05,59
2017-02-12,68
