date,value
2010-01-03,64
2010-01-10,72
2010-01-17,100
2010-01-24,131
2010-01-31,196
2010-02-07,216
2010-02-14,333
2010-02-21,417
2010-02-28,484
2010-03-07,549
2010-03-14,643
2010-03-21,660
2010-03-28,661
2010-04-04,638
2010-04-11,652
2010-04-18,768
2010-04-25,948
2010-05-02,1162
2010-05-09,1494
2010-05-16,1711
2010-05-23,1881
2010-05-30,2150
2010-06-06,2051
2010-06-13,1526
2010-06-20,1435
2010-06-27,1663
2010-07-04,1560
2010-07-11,1384
2010-07-18,1356
2010-07-25,1132
2010-08-01,1004
2010-08-08,936
2010-08-15,727
2010-08-22,570
2010-08-29,395
2010-09-05,372
2010-09-12,272
2010-09-19,265
2010-09-26,208
2010-10-03,156
2010-10-10,138
2010-10-17,134
2010-10-24,155
2010-10-31,142
2010-11-07,139
2010-11-14,180
2010-11-21,170
2010-11-28,149
2010-12-05,164
2010-12-12,166
2010-12-19,141
2010-12-26,117
2011-01-02,139
2011-01-09,187
2011-01-16,170
2011-01-23,214
2011-01-30,327
2011-02-06,407
2011-02-13,430
2011-02-20,366
2011-02-27,391
2011-03-06,553
2011-03-13,696
2011-03-20,777
2011-03-27,773
2011-04-03,800
2011-04-10,714
2011-04-17,659
2011-04-24,555
2011-05-01,630
2011-05-08,707
2011-05-15,667
2011-05-22,594
2011-05-29,571
2011-06-05,492
2011-06-12,386
2011-06-19,358
2011-06-26,363
2011-07-03,295
2011-07-10,260
2011-07-17,242
2011-07-24,217
2011-07-31,225
2011-08-07,232
2011-08-14,172
2011-08-21,131
2011-08-28,155
2011-09-04,172
2011-09-11,157
2011-09-18,149
2011-09-25,166
2011-10-02,171
2011-10-09,174
2011-10-16,196
2011-10-23,207
2011-10-30,239
2011-11-06,292
2011-11-13,301
2011-11-20,309
2011-11-27,393
2011-12-04,444
2011-12-11,481
2011-12-18,454
2011-12-25,429
2012-01-01,799
2012-01-08,758
2012-01-15,844
2012-01-22,900
2012-01-29,1063
2012-02-05,1264
2012-02-12,1211
2012-02-19,1462
2012-02-26,1708
2012-03-04,1797
2012-03-11,1955
2012-03-18,1995
2012-03-25,1625
2012-04-01,1790
2012-04-08,1772
2012-04-15,1603
2012-04-22,1203
2012-04-29,1186
2012-05-06,971
2012-05-13,724
2012-05-20,674
2012-05-27,498
2012-06-03,396
2012-06-10,382
2012-06-17,364
2012-06-24,309
