date,value
2010-01-03,59
2010-01-10,52
2010-01-17,57
2010-01-24,78
2010-01-31,101
2010-02-07,144
2010-02-14,146
2010-02-21,148
2010-02-28,200
2010-03-07,192
2010-03-14,173
2010-03-21,168
2010-03-28,191
2010-04-04,194
2010-04-11,201
2010-04-18,222
2010-04-25,304
2010-05-02,224
2010-05-09,312
2010-05-16,264
2010-05-23,246
2010-05-30,261
2010-06-06,234
2010-06-13,213
2010-06-20,219
2010-06-27,228
2010-07-04,206
2010-07-11,204
2010-07-18,187
2010-07-25,142
2010-08-01,173
2010-08-08,148
2010-08-15,98
2010-08-22,87
2010-08-29,111
2010-09-05,102
2010-09-12,100
2010-09-19,90
2010-09-26,77
2010-10-03,47
2010-10-10,48
2010-10-17,40
2010-10-24,34
2010-10-31,55
2010-11-07,55
2010-11-14,53
2010-11-21,55
2010-11-28,56
2010-12-05,77
2010-12-12,62
2010-12-19,79
2010-12-26,83
2011-01-02,168
2011-01-09,184
2011-01-16,153
2011-01-23,205
2011-01-30,311
2011-02-06,284
2011-02-13,234
2011-02-20,240
2011-02-27,215
2011-03-06,285
2011-03-13,413
2011-03-20,452
2011-03-27,525
2011-04-03,533
2011-04-10,497
2011-04-17,374
2011-04-24,431
2011-05-01,439
2011-05-08,495
2011-05-15,430
2011-05-22,346
2011-05-29,388
2011-06-05,355
2011-06-12,335
2011-06-19,244
2011-06-26,208
2011-07-03,203
2011-07-10,167
2011-07-17,144
2011-07-24,112
2011-07-31,120
2011-08-07,117
2011-08-14,86
2011-08-21,95
2011-08-28,102
2011-09-04,90
2011-09-11,70
2011-09-18,59
2011-09-25,49
2011-10-02,47
2011-10-09,59
2011-10-16,47
2011-10-23,33
2011-10-30,70
2011-11-06,88
2011-11-13,93
2011-11-20,82
2011-11-27,103
2011-12-04,94
2011-12-11,91
2011-12-18,93
2011-12-25,70
2012-01-01,135
2012-01-08,180
2012-01-15,141
2012-01-22,143
2012-01-29,180
2012-02-05,231
2012-02-12,146
2012-02-19,188
2012-02-26,222
2012-03-04,227
2012-03-11,337
2012-03-18,364
2012-03-25,347
2012-04-01,365
2012-04-08,614
2012-04-15,763
2012-04-22,729
2012-04-29,917
2012-05-06,972
2012-05-13,824
2012-05-20,749
2012-05-27,544
2012-06-03,404
2012-06-10,393
2012-06-17,299
2012-06-24,240
2012-07-01,188
2012-07-08,156
2012-07-15,189
2012-07-22,163
2012-07-29,132
2012-08-05,111
2012-08-12,92
2012-08-19,92
2012-08-26,70
2012-09-02,58
2012-09-09,38
2012-09-16,42
2012-09-23,23
2012-09-30,30
2012-10-07,24
2012-10-14,29
2012-10-21,28
2012-10-28,29
2012-11-04,38
2012-11-11,28
2012-11-18,24
2012-11-25,28
2012-12-02,31
2012-12-09,26
2012-12-16,23
2012-12-23,13
2012-12-30,24
2013-01-06,50
2013-01-13,66
2013-01-20,91
2013-01-27,101
2013-02-03,64
2013-02-10,128
2013-02-17,144
