date,value
2010-01-03,110
2010-01-10,135
2010-01-17,162
2010-01-24,285
2010-01-31,425
2010-02-07,734
2010-02-14,1027
2010-02-21,1387
2010-02-28,1824
2010-03-07,2158
2010-03-14,2711
2010-03-21,3214
2010-03-28,3216
2010-04-04,3511
2010-04-11,2841
2010-04-18,2830
2010-04-25,3121
2010-05-02,2728
2010-05-09,1711
2010-05-16,658
2010-05-23,381
2010-05-30,247
2010-06-06,234
2010-06-13,199
2010-06-20,154
2010-06-27,122
2010-07-04,90
2010-07-11,46
2010-07-18,28
2010-07-25,28
2010-08-01,24
2010-08-08,10
2010-08-15,31
2010-08-22,23
2010-08-29,34
2010-09-05,36
2010-09-12,34
2010-09-19,41
2010-09-26,36
2010-10-03,35
2010-10-10,30
2010-10-17,40
2010-10-24,64
2010-10-31,59
2010-11-07,66
2010-11-14,76
2010-11-21,91
2010-11-28,151
2010-12-05,281
2010-12-12,354
2010-12-19,293
2010-12-26,353
2011-01-02,305
2011-01-09,423
2011-01-16,672
2011-01-23,830
2011-01-30,1219
2011-02-06,1477
2011-02-13,1831
2011-02-20,2002
2011-02-27,2271
2011-03-06,2123
2011-03-13,2641
2011-03-20,2862
2011-03-27,2208
2011-04-03,1988
2011-04-10,1461
2011-04-17,1083
2011-04-24,1301
2011-05-01,930
2011-05-08,597
2011-05-15,466
2011-05-22,243
2011-05-29,169
2011-06-05,79
2011-06-12,43
2011-06-19,42
2011-06-26,24
2011-07-03,10
2011-07-10,21
2011-07-17,11
2011-07-24,20
2011-07-31,10
2011-08-07,12
2011-08-14,14
2011-08-21,12
2011-08-28,14
2011-09-04,16
2011-09-11,15
2011-09-18,14
2011-09-25,28
2011-10-02,20
2011-10-09,14
2011-10-16,29
2011-10-23,31
2011-10-30,31
2011-11-06,40
2011-11-13,34
2011-11-20,50
2011-11-27,68
2011-12-04,49
2011-12-11,37
2011-12-18,38
2011-12-25,38
2012-01-01,33
2012-01-08,25
2012-01-15,33
2012-01-22,43
2012-01-29,55
2012-02-05,67
2012-02-12,83
2012-02-19,114
2012-02-26,148
2012-03-04,214
2012-03-11,206
2012-03-18,206
2012-03-25,236
2012-04-01,205
2012-04-08,225
2012-04-15,236
2012-04-22,218
2012-04-29,190
2012-05-06,151
2012-05-13,122
2012-05-20,147
2012-05-27,93
2012-06-03,48
2012-06-10,42
2012-06-17,33
2012-06-24,32
2012-07-01,17
2012-07-08,16
2012-07-15,13
2012-07-22,8
2012-07-29,15
2012-08-05,17
2012-08-12,10
2012-08-19,12
2012-08-26,11
2012-09-02,15
2012-09-09,11
2012-09-16,4
2012-09-23,10
2012-09-30,17
2012-10-07,13
2012-10-14,17
2012-10-21,21
2012-10-28,24
2012-11-04,28
2012-11-11,39
2012-11-18,47
2012-11-25,81
2012-12-02,120
2012-12-09,262
2012-12-16,305
2012-12-23,358
2012-12-30,618
2013-01-06,1036
2013-01-13,1289
2013-01-20,1554
2013-01-27,2293
2013-02-03,2619
2013-02-10,2918
2013-02-17,3595
2013-02-24,4018
2013-03-03,4585
2013-03-10,5446
2013-03-17,5412
2013-03-24,4418
2013-03-31,4983
2013-04-07,4628
2013-04-14,4428
2013-04-21,2976
2013-04-28,2149
2013-05-05,2052
2013-05-12,1349
2013-05-19,927
2013-05-26,624
2013-06-02,487
2013-06-09,391
2013-06-16,198
2013-06-23,99
2013-06-30,93
2013-07-07,61
2013-07-14,43
2013-07-21,28
2013-07-28,26
2013-08-04,12
2013-08-11,21
2013-08-18,23
2013-08-25,21
2013-09-01,20
2013-09-08,23
2013-09-15,20
2013-09-22,27
2013-09-29,15
2013-10-06,24
2013-10-13,34
2013-10-20,39
2013-10-27,58
2013-11-03,69
2013-11-10,63
2013-11-17,85
2013-11-24,82
2013-12-01,104
2013-12-08,110
2013-12-15,161
2013-12-22,162
2013-12-29,220
2014-01-05,297
2014-01-12,312
2014-01-19,332
2014-01-26,534
2014-02-02,616
2014-02-09,743
2014-02-16,812
2014-02-23,819
2014-03-02,857
2014-03-09,1017
2014-03-16,1214
2014-03-23,1368
2014-03-30,1409
2014-04-06,1655
2014-04-13,1477
2014-04-20,1438
2014-04-27,1347
2014-05-04,1245
2014-05-11,1120
2014-05-18,844
2014-05-25,489
2014-06-01,215
2014-06-08,229
2014-06-15,164
2014-06-22,162
2014-06-29,132
2014-07-06,83
