date,value
2010-01-03,289
2010-01-10,316
2010-01-17,347
2010-01-24,375
2010-01-31,448
2010-02-07,391
2010-02-14,479
2010-02-21,684
2010-02-28,686
2010-03-07,653
2010-03-14,779
2010-03-21,794
2010-03-28,970
2010-04-04,1158
2010-04-11,1101
2010-04-18,1264
2010-04-25,1672
2010-05-02,1744
2010-05-09,1654
2010-05-16,1525
2010-05-23,1261
2010-05-30,1107
2010-06-06,866
2010-06-13,688
2010-06-20,600
2010-06-27,577
2010-07-04,563
2010-07-11,448
2010-07-18,352
2010-07-25,443
2010-08-01,388
2010-08-08,415
2010-08-15,295
2010-08-22,291
2010-08-29,252
2010-09-05,171
2010-09-12,185
2010-09-19,142
2010-09-26,150
2010-10-03,89
2010-10-10,110
2010-10-17,94
2010-10-24,108
2010-10-31,148
2010-11-07,193
2010-11-14,214
2010-11-21,318
2010-11-28,407
2010-12-05,559
2010-12-12,615
2010-12-19,514
2010-12-26,501
2011-01-02,823
2011-01-09,1026
2011-01-16,1306
2011-01-23,1793
2011-01-30,2609
2011-02-06,3977
2011-02-13,4709
2011-02-20,4772
2011-02-27,4326
2011-03-06,4348
2011-03-13,6700
2011-03-20,9657
2011-03-27,11061
2011-04-03,13213
2011-04-10,12251
2011-04-17,10745
2011-04-24,11531
2011-05-01,10445
2011-05-08,9578
2011-05-15,7989
2011-05-22,6131
2011-05-29,4753
2011-06-05,3168
2011-06-12,2299
2011-06-19,1610
2011-06-26,1330
2011-07-03,960
2011-07-10,775
2011-07-17,589
2011-07-24,489
2011-07-31,337
2011-08-07,332
2011-08-14,339
2011-08-21,279
2011-08-28,230
2011-09-04,274
2011-09-11,298
2011-09-18,353
2011-09-25,389
2011-10-02,377
2011-10-09,434
2011-10-16,388
2011-10-23,555
2011-10-30,497
2011-11-06,601
2011-11-13,514
2011-11-20,757
2011-11-27,753
2011-12-04,977
2011-12-11,1232
2011-12-18,1131
2011-12-25,1067
2012-01-01,1558
2012-01-08,1673
2012-01-15,2075
2012-01-22,2272
2012-01-29,2491
2012-02-05,2937
2012-02-12,3356
2012-02-19,3914
2012-02-26,5653
2012-03-04,6927
2012-03-11,6828
2012-03-18,8097
2012-03-25,8464
2012-04-01,9083
2012-04-08,11202
2012-04-15,13310
2012-04-22,12492
2012-04-29,11259
2012-05-06,11160
2012-05-13,9607
2012-05-20,8114
2012-05-27,6528
2012-06-03,5320
2012-06-10,4796
2012-06-17,3725
2012-06-24,2856
2012-07-01,2067
2012-07-08,1326
2012-07-15,1015
2012-07-22,703
2012-07-29,812
2012-08-05,775
2012-08-12,728
2012-08-19,612
2012-08-26,463
2012-09-02,385
2012-09-09,404
2012-09-16,410
2012-09-23,308
2012-09-30,308
2012-10-07,260
2012-10-14,314
2012-10-21,335
2012-10-28,400
2012-11-04,437
2012-11-11,346
2012-11-18,424
2012-11-25,543
2012-12-02,672
2012-12-09,760
2012-12-16,731
2012-12-23,1220
2012-12-30,2109
2013-01-06,3157
2013-01-13,3650
2013-01-20,4811
2013-01-27,5280
2013-02-03,5321
2013-02-10,7175
2013-02-17,11653
2013-02-24,14117
2013-03-03,15945
2013-03-10,18903
2013-03-17,17598
2013-03-24,15974
2013-03-31,17739
2013-04-07,17899
2013-04-14,13879
2013-04-21,9568
2013-04-28,7132
2013-05-05,5707
2013-05-12,4357
2013-05-19,3136
2013-05-26,1943
2013-06-02,1485
2013-06-09,1272
2013-06-16,918
2013-06-23,703
2013-06-30,510
2013-07-07,403
2013-07-14,332
2013-07-21,221
2013-07-28,231
2013-08-04,178
2013-08-11,158
2013-08-18,147
2013-08-25,132
2013-09-01,114
2013-09-08,128
2013-09-15,125
2013-09-22,140
2013-09-29,116
2013-10-06,117
2013-10-13,114
2013-10-20,175
2013-10-27,154
2013-11-03,140
2013-11-10,163
2013-11-17,210
2013-11-24,217
2013-12-01,314
2013-12-08,247
2013-12-15,201
2013-12-22,211
2013-12-29,311
2014-01-05,370
2014-01-12,363
2014-01-19,325
2014-01-26,259
2014-02-02,272
2014-02-09,235
2014-02-16,227
2014-02-23,166
2014-03-02,179
2014-03-09,195
2014-03-16,185
2014-03-23,207
2014-03-30,201
2014-04-06,182
2014-04-13,155
2014-04-20,179
2014-04-27,198
2014-05-04,199
2014-05-11,192
2014-05-18,135
2014-05-25,119
2014-06-01,135
2014-06-08,132
2014-06-15,122
2014-06-22,96
2014-06-29,95
2014-07-06,89
2014-07-13,92
2014-07-20,75
2014-07-27,86
2014-08-03,78
2014-08-10,96
2014-08-17,90
2014-08-24,96
2014-08-31,107
2014-09-07,86
2014-09-14,100
2014-09-21,95
2014-09-28,112
2014-10-05,89
2014-10-12,89
2014-10-19,95
2014-10-26,87
2014-11-02,72
2014-11-09,80
2014-11-16,69
2014-11-23,67
2014-11-30,76
2014-12-07,102
2014-12-14,148
2014-12-21,113
2014-12-28,169
2015-01-04,439
2015-01-11,547
2015-01-18,845
2015-01-25,756
2015-02-01,825
2015-02-08,777
2015-02-15,912
2015-02-22,1191
2015-03-01,1863
2015-03-08,2247
2015-03-15,2793
2015-03-22,2453
2015-03-29,2553
2015-04-05,3435
2015-04-12,3610
2015-04-19,3417
2015-04-26,3962
2015-05-03,3866
2015-05-10,3852
2015-05-17,3148
2015-05-24,2538
2015-05-31,2270
2015-06-07,1984
2015-06-14,1752
2015-06-21,1201
2015-06-28,1009
2015-07-05,918
2015-07-12,823
2015-07-19,793
2015-07-26,701
2015-08-02,694
2015-08-09,655
2015-08-16,492
2015-08-23,439
2015-08-30,385
2015-09-06,365
2015-09-13,332
2015-09-20,361
2015-09-27,364
2015-10-04,345
2015-10-11,340
2015-10-18,380
2015-10-25,351
2015-11-01,506
2015-11-08,647
2015-11-15,766
2015-11-22,983
2015-11-29,1409
2015-12-06,1882
2015-12-13,2204
2015-12-20,2067
2015-12-27,2443
2016-01-03,4208
2016-01-10,3819
2016-01-17,4251
2016-01-24,3911
2016-01-31,3652
2016-02-07,4022
2016-02-14,4707
2016-02-21,4078
2016-02-28,3904
2016-03-06,3982
2016-03-13,4313
2016-03-20,4544
2016-03-27,5216
2016-04-03,4935
2016-04-10,4995
2016-04-17,3886
2016-04-24,3536
2016-05-01,2309
2016-05-08,2068
2016-05-15,1442
2016-05-22,951
2016-05-29,828
2016-06-05,683
2016-06-12,370
2016-06-19,285
2016-06-26,284
2016-07-03,280
2016-07-10,257
2016-07-17,200
2016-07-24,172
2016-07-31,142
2016-08-07,105
2016-08-14,125
2016-08-21,85
2016-08-28,87
2016-09-04,82
2016-09-11,114
2016-09-18,98
2016-09-25,63
2016-10-02,74
2016-10-09,68
2016-10-16,110
2016-10-23,120
2016-10-30,107
2016-11-06,126
2016-11-13,136
2016-11-20,199
2016-11-27,232
2016-12-04,278
2016-12-11,217
2016-12-18,236
2016-12-25,211
2017-01-01,314
2017-01-08,344
2017-01-15,408
2017-01-22,417
2017-01-29,415
2017-02-05,407
2017-02-12,404
2017-02-19,264
2017-02-26,338
2017-03-05,358
2017-03-12,382
2017-03-19,385
2017-03-26,338
2017-04-02,314
2017-04-09,282
2017-04-16,364
2017-04-23,349
2017-04-30,325
2017-05-07,259
2017-05-14,268
2017-05-21,187
2017-05-28,252
2017-06-04,237
2017-06-11,156
2017-06-18,173
2017-06-25,153
2017-07-02,154
2017-07-09,133
2017-07-16,104
2017-07-23,99
2017-07-30,94
2017-08-06,78
2017-08-13,81
2017-08-20,71
2017-08-27,74
2017-09-03,69
2017-09-10,69
2017-09-17,89
2017-09-24,73
2017-10-01,109
2017-10-08,101
2017-10-15,111
2017-10-22,93
2017-10-29,81
2017-11-05,110
2017-11-12,135
2017-11-19,115
2017-11-26,132
2017-12-03,167
2017-12-10,151
2017-12-17,137
2017-12-24,137
2017-12-31,189
2018-01-07,228
2018-01-14,353
2018-01-21,303
2018-01-28,415
2018-02-04,348
2018-02-11,382
2018-02-18,466
2018-02-25,493
2018-03-04,605
2018-03-11,698
2018-03-18,696
2018-03-25,678
2018-04-01,891
2018-04-08,831
2018-04-15,609
2018-04-22,502
2018-04-29,488
2018-05-06,480
2018-05-13,455
2018-05-20,306
2018-05-27,271
2018-06-03,229
2018-06-10,245
2018-06-17,210
2018-06-24,223
2018-07-01,263
2018-07-08,203
2018-07-15,193
2018-07-22,159
2018-07-29,116
2018-08-05,140
2018-08-12,99
2018-08-19,103
2018-08-26,80
2018-09-02,64
2018-09-09,72
2018-09-16,82
2018-09-23,57
2018-09-30,93
2018-10-07,74
2018-10-14,93
2018-10-21,82
2018-10-28,92
2018-11-04,100
2018-11-11,101
2018-11-18,119
2018-11-25,149
2018-12-02,183
2018-12-09,199
2018-12-16,196
2018-12-23,201
2018-12-30,288
2019-01-06,305
2019-01-13,323
2019-01-20,345
2019-01-27,332
2019-02-03,274
2019-02-10,268
2019-02-17,289
2019-02-24,327
2019-03-03,476
2019-03-10,645
2019-03-17,1003
2019-03-24,1160
2019-03-31,1567
2019-04-07,1592
2019-04-14,1897
2019-04-21,2033
2019-04-28,2335
2019-05-05,2782
2019-05-12,2268
2019-05-19,2027
2019-05-26,1598
2019-06-02,1226
2019-06-09,992
2019-06-16,836
2019-06-23,669
2019-06-30,656
2019-07-07,387
2019-07-14,260
2019-07-21,201
2019-07-28,187
2019-08-04,168
2019-08-11,149
2019-08-18,94
2019-08-25,105
2019-09-01,131
2019-09-08,105
2019-09-15,94
2019-09-22,67
2019-09-29,102
2019-10-06,88
2019-10-13,102
2019-10-20,97
2019-10-27,94
2019-11-03,114
2019-11-10,104
2019-11-17,87
2019-11-24,120
2019-12-01,104
2019-12-08,133
2019-12-15,146
2019-12-22,126
2019-12-29,171
2020-01-05,222
2020-01-12,242
2020-01-19,201
2020-01-26,212
2020-02-02,229
2020-02-09,248
2020-02-16,286
2020-02-23,236
2020-03-01,225
2020-03-08,242
2020-03-15,148
2020-03-22,132
2020-03-29,131
2020-04-05,113
2020-04-12,110
2020-04-19,95
2020-04-26,87
2020-05-03,81
2020-05-10,65
2020-05-17,61
2020-05-24,40
2020-05-31,29
2020-06-07,43
2020-06-14,30
2020-06-21,29
2020-06-28,27
2020-07-05,22
2020-07-12,33
2020-07-19,40
2020-07-26,25
2020-08-02,18
2020-08-09,20
2020-08-16,21
2020-08-23,20
2020-08-30,21
2020-09-06,14
2020-09-13,23
2020-09-20,26
2020-09-27,26
2020-10-04,22
2020-10-11,17
2020-10-18,30
2020-10-25,21
2020-11-01,25
2020-11-08,40
2020-11-15,25
2020-11-22,22
2020-11-29,40
2020-12-06,25
2020-12-13,15
2020-12-20,8
2020-12-27,8
2021-01-03,19
2021-01-10,26
2021-01-17,29
2021-01-24,41
2021-01-31,36
2021-02-07,34
2021-02-14,38
2021-02-21,42
2021-02-28,47
2021-03-07,82
2021-03-14,92
2021-03-21,85
2021-03-28,145
2021-04-04,177
2021-04-11,132
2021-04-18,111
2021-04-25,122
2021-05-02,89
2021-05-09,81
2021-05-16,125
2021-05-23,85
2021-05-30,106
2021-06-06,82
2021-06-13,74
2021-06-20,62
2021-06-27,55
2021-07-04,56
2021-07-11,58
2021-07-18,51
2021-07-25,37
2021-08-01,33
2021-08-08,38
2021-08-15,29
2021-08-22,38
2021-08-29,27
2021-09-05,17
2021-09-12,25
2021-09-19,16
2021-09-26,22
2021-10-03,14
2021-10-10,14
2021-10-17,15
2021-10-24,11
2021-10-31,14
2021-11-07,5
2021-11-14,24
2021-11-21,26
2021-11-28,31
2021-12-05,28
2021-12-12,25
2021-12-19,34
2021-12-26,2
2022-01-02,24
2022-01-09,30
2022-01-16,23
2022-01-23,37
2022-01-30,53
2022-02-06,68
2022-02-13,81
2022-02-20,82
2022-02-27,133
2022-03-06,198
2022-03-13,228
2022-03-20,301
2022-03-27,314
2022-04-03,379
2022-04-10,367
2022-04-17,446
2022-04-24,564
2022-05-01,713
2022-05-08,856
2022-05-15,706
2022-05-22,624
2022-05-29,580
2022-06-05,460
2022-06-12,301
2022-06-19,280
2022-06-26,236
2022-07-03,228
2022-07-10,217
2022-07-17,212
2022-07-24,173
2022-07-31,159
2022-08-07,148
2022-08-14,117
2022-08-21,103
2022-08-28,90
2022-09-04,89
2022-09-11,93
2022-09-18,77
2022-09-25,96
2022-10-02,100
2022-10-09,106
2022-10-16,106
2022-10-23,104
2022-10-30,87
2022-11-06,92
2022-11-13,77
2022-11-20,58
2022-11-27,50
2022-12-04,50
2022-12-11,63
2022-12-18,50
2022-12-25,109
2023-01-01,259
2023-01-08,288
2023-01-15,373
2023-01-22,464
2023-01-29,593
2023-02-05,888
