date,value
2010-01-03,19
2010-01-10,27
2010-01-17,27
2010-01-24,34
2010-01-31,20
2010-02-07,23
2010-02-14,41
2010-02-21,33
2010-02-28,41
2010-03-07,48
2010-03-14,55
2010-03-21,64
2010-03-28,58
2010-04-04,74
2010-04-11,82
2010-04-18,79
2010-04-25,117
2010-05-02,118
2010-05-09,143
2010-05-16,169
2010-05-23,159
2010-05-30,182
2010-06-06,231
2010-06-13,241
2010-06-20,274
2010-06-27,293
2010-07-04,306
2010-07-11,358
2010-07-18,304
2010-07-25,271
2010-08-01,305
2010-08-08,307
2010-08-15,210
2010-08-22,181
2010-08-29,202
2010-09-05,212
2010-09-12,186
2010-09-19,166
2010-09-26,162
2010-10-03,169
2010-10-10,182
2010-10-17,159
2010-10-24,137
2010-10-31,142
2010-11-07,165
2010-11-14,176
2010-11-21,180
2010-11-28,180
2010-12-05,176
2010-12-12,176
2010-12-19,188
2010-12-26,159
2011-01-02,206
2011-01-09,205
2011-01-16,272
2011-01-23,374
2011-01-30,518
2011-02-06,598
2011-02-13,548
2011-02-20,643
2011-02-27,723
2011-03-06,896
2011-03-13,1086
2011-03-20,1298
2011-03-27,1196
2011-04-03,1252
2011-04-10,1105
2011-04-17,979
2011-04-24,1062
2011-05-01,982
2011-05-08,935
2011-05-15,870
2011-05-22,781
2011-05-29,817
2011-06-05,848
2011-06-12,633
2011-06-19,445
2011-06-26,409
2011-07-03,388
2011-07-10,331
2011-07-17,257
2011-07-24,228
2011-07-31,256
2011-08-07,176
2011-08-14,163
2011-08-21,126
2011-08-28,88
2011-09-04,103
2011-09-11,91
2011-09-18,77
2011-09-25,88
2011-10-02,79
2011-10-09,83
2011-10-16,79
2011-10-23,101
2011-10-30,115
2011-11-06,105
2011-11-13,108
2011-11-20,105
2011-11-27,89
2011-12-04,130
2011-12-11,154
2011-12-18,199
2011-12-25,160
2012-01-01,297
2012-01-08,264
2012-01-15,236
2012-01-22,306
2012-01-29,446
2012-02-05,402
2012-02-12,364
2012-02-19,458
2012-02-26,677
2012-03-04,662
2012-03-11,962
2012-03-18,1070
2012-03-25,1056
2012-04-01,1277
2012-04-08,1624
2012-04-15,1650
2012-04-22,1772
2012-04-29,1848
2012-05-06,1499
2012-05-13,1548
2012-05-20,1144
2012-05-27,995
2012-06-03,948
2012-06-10,792
2012-06-17,712
2012-06-24,610
2012-07-01,600
2012-07-08,575
2012-07-15,492
2012-07-22,471
2012-07-29,430
2012-08-05,357
2012-08-12,345
2012-08-19,264
2012-08-26,199
2012-09-02,183
2012-09-09,150
2012-09-16,139
2012-09-23,96
2012-09-30,90
2012-10-07,85
2012-10-14,105
2012-10-21,103
2012-10-28,93
2012-11-04,95
2012-11-11,110
2012-11-18,109
2012-11-25,107
2012-12-02,114
2012-12-09,143
2012-12-16,121
2012-12-23,150
2012-12-30,229
2013-01-06,264
2013-01-13,297
2013-01-20,288
2013-01-27,322
2013-02-03,237
2013-02-10,306
2013-02-17,380
2013-02-24,460
2013-03-03,408
2013-03-10,371
2013-03-17,411
2013-03-24,448
2013-03-31,622
2013-04-07,699
2013-04-14,632
2013-04-21,577
2013-04-28,626
2013-05-05,761
2013-05-12,627
2013-05-19,655
2013-05-26,460
2013-06-02,530
2013-06-09,541
2013-06-16,577
2013-06-23,540
2013-06-30,528
2013-07-07,539
2013-07-14,521
2013-07-21,533
2013-07-28,439
2013-08-04,553
2013-08-11,418
2013-08-18,409
2013-08-25,295
2013-09-01,247
2013-09-08,274
2013-09-15,238
2013-09-22,174
2013-09-29,215
2013-10-06,162
2013-10-13,147
2013-10-20,131
2013-10-27,133
2013-11-03,145
2013-11-10,171
2013-11-17,217
2013-11-24,216
2013-12-01,153
2013-12-08,109
2013-12-15,90
2013-12-22,58
2013-12-29,73
