date,value
2010-01-03,2456
2010-01-10,2404
2010-01-17,2213
2010-01-24,2070
2010-01-31,1949
2010-02-07,1498
2010-02-14,1318
2010-02-21,873
2010-02-28,728
2010-03-07,554
2010-03-14,353
2010-03-21,268
2010-03-28,237
2010-04-04,273
2010-04-11,193
2010-04-18,163
2010-04-25,175
2010-05-02,120
2010-05-09,86
2010-05-16,69
2010-05-23,40
2010-05-30,48
2010-06-06,42
2010-06-13,53
2010-06-20,33
2010-06-27,44
2010-07-04,22
2010-07-11,13
2010-07-18,22
2010-07-25,25
2010-08-01,19
2010-08-08,23
2010-08-15,15
2010-08-22,17
2010-08-29,21
2010-09-05,25
2010-09-12,14
2010-09-19,12
2010-09-26,23
2010-10-03,22
2010-10-10,34
2010-10-17,37
2010-10-24,56
2010-10-31,127
2010-11-07,132
2010-11-14,179
2010-11-21,193
2010-11-28,215
2010-12-05,307
2010-12-12,238
2010-12-19,143
2010-12-26,135
2011-01-02,147
2011-01-09,169
2011-01-16,173
2011-01-23,143
2011-01-30,148
2011-02-06,132
2011-02-13,158
2011-02-20,126
2011-02-27,124
2011-03-06,159
2011-03-13,150
2011-03-20,163
2011-03-27,174
2011-04-03,119
2011-04-10,125
2011-04-17,93
2011-04-24,58
2011-05-01,42
2011-05-08,48
2011-05-15,45
2011-05-22,24
2011-05-29,19
2011-06-05,16
2011-06-12,8
2011-06-19,7
2011-06-26,7
2011-07-03,8
2011-07-10,14
2011-07-17,5
2011-07-24,5
2011-07-31,19
2011-08-07,21
2011-08-14,9
2011-08-21,11
2011-08-28,9
2011-09-04,14
2011-09-11,21
2011-09-18,14
2011-09-25,20
2011-10-02,18
2011-10-09,18
2011-10-16,13
2011-10-23,8
2011-10-30,32
2011-11-06,20
2011-11-13,26
2011-11-20,29
2011-11-27,36
2011-12-04,36
2011-12-11,39
2011-12-18,40
2011-12-25,25
2012-01-01,75
2012-01-08,84
2012-01-15,62
2012-01-22,59
2012-01-29,70
2012-02-05,59
2012-02-12,75
2012-02-19,90
2012-02-26,75
2012-03-04,91
2012-03-11,102
2012-03-18,73
2012-03-25,80
2012-04-01,75
2012-04-08,75
2012-04-15,65
2012-04-22,75
2012-04-29,69
2012-05-06,69
2012-05-13,64
2012-05-20,62
2012-05-27,68
2012-06-03,72
2012-06-10,68
2012-06-17,76
2012-06-24,55
2012-07-01,55
2012-07-08,40
2012-07-15,46
2012-07-22,43
2012-07-29,52
2012-08-05,36
2012-08-12,44
2012-08-19,39
2012-08-26,32
2012-09-02,18
2012-09-09,21
2012-09-16,26
2012-09-23,22
2012-09-30,35
2012-10-07,30
2012-10-14,31
2012-10-21,49
2012-10-28,53
2012-11-04,55
2012-11-11,64
2012-11-18,91
2012-11-25,96
2012-12-02,105
2012-12-09,145
2012-12-16,154
2012-12-23,165
2012-12-30,297
2013-01-06,527
2013-01-13,607
2013-01-20,537
2013-01-27,671
2013-02-03,633
2013-02-10,658
2013-02-17,524
2013-02-24,499
2013-03-03,468
2013-03-10,495
2013-03-17,339
2013-03-24,203
2013-03-31,207
2013-04-07,183
2013-04-14,144
2013-04-21,109
2013-04-28,89
2013-05-05,102
2013-05-12,81
2013-05-19,68
2013-05-26,57
2013-06-02,45
2013-06-09,34
2013-06-16,27
2013-06-23,34
2013-06-30,36
2013-07-07,30
2013-07-14,19
2013-07-21,16
2013-07-28,28
2013-08-04,16
2013-08-11,16
2013-08-18,11
2013-08-25,15
2013-09-01,11
2013-09-08,14
2013-09-15,31
2013-09-22,18
2013-09-29,23
2013-10-06,28
2013-10-13,29
2013-10-20,37
2013-10-27,42
2013-11-03,58
2013-11-10,88
2013-11-17,103
2013-11-24,98
2013-12-01,122
2013-12-08,73
2013-12-15,78
2013-12-22,44
2013-12-29,41
2014-01-05,45
2014-01-12,39
2014-01-19,42
2014-01-26,54
2014-02-02,71
2014-02-09,66
2014-02-16,57
2014-02-23,57
2014-03-02,61
2014-03-09,59
2014-03-16,53
2014-03-23,54
2014-03-30,64
2014-04-06,48
2014-04-13,28
2014-04-20,30
2014-04-27,41
2014-05-04,54
2014-05-11,39
2014-05-18,32
2014-05-25,34
