date,value
2010-01-03,25
2010-01-10,29
2010-01-17,28
2010-01-24,38
2010-01-31,68
2010-02-07,98
2010-02-14,105
2010-02-21,116
2010-02-28,184
2010-03-07,117
2010-03-14,151
2010-03-21,149
2010-03-28,159
2010-04-04,254
2010-04-11,188
2010-04-18,229
2010-04-25,188
2010-05-02,217
2010-05-09,219
2010-05-16,284
2010-05-23,414
2010-05-30,584
2010-06-06,525
2010-06-13,411
2010-06-20,370
2010-06-27,359
2010-07-04,209
2010-07-11,231
2010-07-18,174
2010-07-25,156
2010-08-01,214
2010-08-08,206
2010-08-15,149
2010-08-22,92
2010-08-29,92
2010-09-05,92
2010-09-12,87
2010-09-19,66
2010-09-26,30
2010-10-03,23
2010-10-10,22
2010-10-17,32
2010-10-24,20
2010-10-31,11
2010-11-07,24
2010-11-14,27
2010-11-21,23
2010-11-28,17
2010-12-05,22
2010-12-12,28
2010-12-19,26
2010-12-26,34
2011-01-02,28
2011-01-09,34
2011-01-16,40
2011-01-23,45
2011-01-30,33
2011-02-06,37
2011-02-13,29
2011-02-20,36
2011-02-27,29
2011-03-06,27
2011-03-13,47
2011-03-20,56
2011-03-27,31
2011-04-03,39
2011-04-10,23
2011-04-17,24
2011-04-24,21
2011-05-01,26
2011-05-08,17
2011-05-15,20
2011-05-22,34
2011-05-29,20
2011-06-05,34
2011-06-12,33
2011-06-19,24
2011-06-26,36
2011-07-03,34
2011-07-10,45
2011-07-17,39
2011-07-24,17
2011-07-31,26
2011-08-07,31
2011-08-14,26
2011-08-21,24
2011-08-28,20
2011-09-04,20
2011-09-11,12
2011-09-18,14
2011-09-25,12
2011-10-02,15
2011-10-09,11
2011-10-16,17
2011-10-23,13
2011-10-30,14
2011-11-06,8
2011-11-13,19
2011-11-20,19
2011-11-27,23
2011-12-04,27
2011-12-11,41
2011-12-18,27
2011-12-25,21
2012-01-01,31
2012-01-08,38
2012-01-15,36
2012-01-22,39
2012-01-29,20
2012-02-05,31
2012-02-12,22
2012-02-19,17
2012-02-26,39
2012-03-04,37
2012-03-11,64
2012-03-18,75
2012-03-25,68
2012-04-01,32
2012-04-08,60
2012-04-15,44
2012-04-22,34
2012-04-29,51
2012-05-06,47
2012-05-13,68
2012-05-20,75
2012-05-27,50
2012-06-03,50
2012-06-10,51
2012-06-17,56
2012-06-24,49
2012-07-01,54
2012-07-08,31
2012-07-15,31
2012-07-22,35
2012-07-29,68
2012-08-05,77
2012-08-12,48
2012-08-19,57
2012-08-26,34
2012-09-02,29
2012-09-09,31
2012-09-16,32
2012-09-23,17
2012-09-30,19
2012-10-07,9
2012-10-14,14
2012-10-21,16
2012-10-28,18
2012-11-04,14
2012-11-11,17
2012-11-18,17
2012-11-25,8
2012-12-02,14
2012-12-09,15
2012-12-16,3
2012-12-23,8
2012-12-30,8
2013-01-06,9
2013-01-13,18
2013-01-20,19
2013-01-27,12
2013-02-03,11
2013-02-10,12
