date,value
2010-01-03,12
2010-01-10,13
2010-01-17,8
2010-01-24,6
2010-01-31,15
2010-02-07,27
2010-02-14,149
2010-02-21,465
2010-02-28,686
2010-03-07,506
2010-03-14,470
2010-03-21,376
2010-03-28,278
2010-04-04,249
2010-04-11,165
2010-04-18,61
2010-04-25,34
2010-05-02,36
2010-05-09,15
2010-05-16,9
2010-05-23,3
2010-05-30,2
2010-06-06,7
2010-06-13,4
2010-06-20,2
2010-06-27,3
2010-07-04,6
2010-07-11,3
2010-07-18,1
2010-07-25,0
2010-08-01,6
2010-08-08,2
2010-08-15,2
2010-08-22,2
2010-08-29,3
2010-09-05,1
2010-09-12,1
2010-09-19,4
2010-09-26,0
2010-10-03,2
2010-10-10,0
2010-10-17,1
2010-10-24,0
2010-10-31,1
2010-11-07,0
2010-11-14,4
2010-11-21,0
2010-11-28,2
2010-12-05,1
2010-12-12,2
2010-12-19,1
2010-12-26,2
2011-01-02,3
2011-01-09,0
2011-01-16,8
2011-01-23,5
2011-01-30,6
2011-02-06,2
2011-02-13,12
2011-02-20,9
2011-02-27,10
2011-03-06,9
2011-03-13,12
2011-03-20,31
2011-03-27,35
2011-04-03,39
2011-04-10,41
2011-04-17,34
2011-04-24,23
2011-05-01,17
2011-05-08,10
2011-05-15,8
2011-05-22,4
2011-05-29,4
2011-06-05,1
2011-06-12,1
2011-06-19,1
2011-06-26,1
2011-07-03,1
2011-07-10,0
2011-07-17,2
2011-07-24,0
2011-07-31,1
2011-08-07,2
2011-08-14,0
2011-08-21,0
2011-08-28,3
2011-09-04,2
2011-09-11,1
2011-09-18,0
2011-09-25,0
2011-10-02,0
2011-10-09,0
2011-10-16,1
2011-10-23,0
2011-10-30,2
2011-11-06,1
2011-11-13,0
2011-11-20,1
2011-11-27,3
2011-12-04,3
2011-12-11,2
2011-12-18,3
2011-12-25,1
2012-01-01,6
2012-01-08,3
2012-01-15,6
2012-01-22,6
2012-01-29,2
2012-02-05,5
2012-02-12,1
2012-02-19,7
2012-02-26,7
2012-03-04,3
2012-03-11,16
2012-03-18,6
2012-03-25,9
2012-04-01,4
2012-04-08,12
2012-04-15,4
2012-04-22,12
2012-04-29,6
2012-05-06,11
2012-05-13,4
2012-05-20,4
2012-05-27,3
2012-06-03,2
2012-06-10,4
2012-06-17,0
2012-06-24,0
2012-07-01,1
2012-07-08,0
2012-07-15,0
2012-07-22,2
2012-07-29,1
2012-08-05,0
2012-08-12,0
2012-08-19,1
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,1
2012-10-28,0
2012-11-04,0
2012-11-11,2
2012-11-18,3
2012-11-25,2
2012-12-02,0
2012-12-09,5
2012-12-16,2
2012-12-23,1
2012-12-30,11
2013-01-06,7
2013-01-13,3
2013-01-20,12
2013-01-27,12
2013-02-03,14
2013-02-10,16
2013-02-17,35
2013-02-24,44
2013-03-03,35
2013-03-10,45
2013-03-17,31
2013-03-24,26
2013-03-31,45
2013-04-07,25
2013-04-14,33
2013-04-21,21
2013-04-28,15
2013-05-05,15
2013-05-12,6
2013-05-19,4
2013-05-26,5
2013-06-02,3
2013-06-09,2
2013-06-16,1
2013-06-23,2
2013-06-30,3
2013-07-07,1
2013-07-14,0
2013-07-21,1
2013-07-28,1
2013-08-04,2
2013-08-11,1
2013-08-18,1
2013-08-25,2
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,1
2013-10-13,1
2013-10-20,1
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,2
2013-11-24,2
2013-12-01,0
2013-12-08,1
2013-12-15,0
2013-12-22,0
2013-12-29,3
2014-01-05,6
2014-01-12,2
2014-01-19,2
2014-01-26,8
2014-02-02,4
2014-02-09,21
2014-02-16,8
2014-02-23,2
2014-03-02,12
2014-03-09,8
2014-03-16,5
2014-03-23,7
2014-03-30,4
2014-04-06,11
2014-04-13,5
2014-04-20,4
2014-04-27,9
2014-05-04,4
2014-05-11,4
2014-05-18,1
2014-05-25,2
2014-06-01,1
2014-06-08,1
2014-06-15,0
2014-06-22,2
2014-06-29,0
2014-07-06,1
2014-07-13,1
2014-07-20,0
2014-07-27,1
2014-08-03,0
2014-08-10,0
2014-08-17,1
2014-08-24,0
2014-08-31,0
2014-09-07,1
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,1
2014-10-12,0
2014-10-19,0
2014-10-26,0
2014-11-02,0
2014-11-09,0
2014-11-16,1
2014-11-23,1
2014-11-30,0
2014-12-07,1
2014-12-14,2
2014-12-21,1
2014-12-28,6
2015-01-04,0
2015-01-11,1
2015-01-18,11
2015-01-25,5
2015-02-01,3
2015-02-08,9
2015-02-15,11
2015-02-22,15
2015-03-01,28
2015-03-08,93
2015-03-15,135
2015-03-22,155
2015-03-29,179
2015-04-05,250
2015-04-12,170
2015-04-19,130
2015-04-26,109
2015-05-03,108
2015-05-10,45
2015-05-17,36
2015-05-24,30
2015-05-31,13
2015-06-07,17
2015-06-14,10
2015-06-21,6
2015-06-28,5
2015-07-05,1
2015-07-12,2
2015-07-19,4
2015-07-26,4
2015-08-02,3
2015-08-09,4
2015-08-16,10
2015-08-23,3
2015-08-30,4
2015-09-06,2
2015-09-13,4
2015-09-20,3
2015-09-27,3
2015-10-04,1
2015-10-11,1
2015-10-18,5
2015-10-25,3
2015-11-01,0
2015-11-08,6
2015-11-15,4
2015-11-22,11
2015-11-29,11
2015-12-06,13
2015-12-13,23
2015-12-20,14
2015-12-27,31
2016-01-03,40
2016-01-10,26
2016-01-17,40
2016-01-24,48
2016-01-31,53
2016-02-07,60
2016-02-14,105
2016-02-21,156
2016-02-28,210
2016-03-06,258
2016-03-13,245
2016-03-20,312
2016-03-27,252
2016-04-03,252
2016-04-10,256
2016-04-17,277
2016-04-24,203
2016-05-01,104
2016-05-08,53
2016-05-15,32
2016-05-22,23
2016-05-29,10
2016-06-05,5
2016-06-12,4
2016-06-19,4
2016-06-26,4
2016-07-03,3
2016-07-10,1
2016-07-17,5
2016-07-24,4
2016-07-31,5
2016-08-07,4
