date,value
2010-01-03,10
2010-01-10,15
2010-01-17,8
2010-01-24,6
2010-01-31,11
2010-02-07,8
2010-02-14,13
2010-02-21,15
2010-02-28,9
2010-03-07,8
2010-03-14,4
2010-03-21,7
2010-03-28,9
2010-04-04,9
2010-04-11,8
2010-04-18,9
2010-04-25,7
2010-05-02,8
2010-05-09,3
2010-05-16,1
2010-05-23,4
2010-05-30,1
2010-06-06,0
2010-06-13,2
2010-06-20,2
2010-06-27,3
2010-07-04,1
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,1
2010-08-08,1
2010-08-15,1
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,1
2010-09-26,0
2010-10-03,2
2010-10-10,0
2010-10-17,2
2010-10-24,0
2010-10-31,2
2010-11-07,0
2010-11-14,1
2010-11-21,0
2010-11-28,3
2010-12-05,0
2010-12-12,1
2010-12-19,0
2010-12-26,4
2011-01-02,4
2011-01-09,5
2011-01-16,5
2011-01-23,7
2011-01-30,9
2011-02-06,5
2011-02-13,4
2011-02-20,2
2011-02-27,8
2011-03-06,5
2011-03-13,6
2011-03-20,5
2011-03-27,2
2011-04-03,5
2011-04-10,9
2011-04-17,7
2011-04-24,11
2011-05-01,7
2011-05-08,6
2011-05-15,2
2011-05-22,2
2011-05-29,4
2011-06-05,1
2011-06-12,0
2011-06-19,2
2011-06-26,0
2011-07-03,1
2011-07-10,1
2011-07-17,2
2011-07-24,1
2011-07-31,1
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,2
2011-09-04,0
2011-09-11,1
2011-09-18,0
2011-09-25,0
2011-10-02,1
2011-10-09,0
2011-10-16,1
2011-10-23,0
2011-10-30,0
2011-11-06,0
2011-11-13,1
2011-11-20,6
2011-11-27,2
2011-12-04,3
2011-12-11,0
2011-12-18,2
2011-12-25,1
2012-01-01,5
2012-01-08,3
2012-01-15,4
2012-01-22,2
2012-01-29,4
2012-02-05,8
2012-02-12,3
2012-02-19,2
2012-02-26,2
2012-03-04,6
2012-03-11,0
2012-03-18,7
2012-03-25,2
2012-04-01,1
2012-04-08,6
2012-04-15,4
2012-04-22,8
2012-04-29,8
2012-05-06,1
2012-05-13,1
2012-05-20,2
2012-05-27,1
2012-06-03,0
2012-06-10,1
2012-06-17,2
2012-06-24,2
2012-07-01,1
2012-07-08,0
2012-07-15,0
2012-07-22,2
2012-07-29,1
2012-08-05,0
2012-08-12,1
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,3
2012-10-21,0
2012-10-28,0
2012-11-04,2
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,1
2012-12-09,0
2012-12-16,1
2012-12-23,3
2012-12-30,13
2013-01-06,19
2013-01-13,17
2013-01-20,11
2013-01-27,4
2013-02-03,20
2013-02-10,13
2013-02-17,28
2013-02-24,19
2013-03-03,18
2013-03-10,16
2013-03-17,17
2013-03-24,16
2013-03-31,27
2013-04-07,21
2013-04-14,19
2013-04-21,13
2013-04-28,8
2013-05-05,10
2013-05-12,7
2013-05-19,4
2013-05-26,1
2013-06-02,2
2013-06-09,2
2013-06-16,4
2013-06-23,0
2013-06-30,1
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,2
2013-08-04,0
2013-08-11,2
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,1
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,1
2013-10-20,1
2013-10-27,0
2013-11-03,1
2013-11-10,0
2013-11-17,4
2013-11-24,1
2013-12-01,1
2013-12-08,0
2013-12-15,2
2013-12-22,2
2013-12-29,2
2014-01-05,2
2014-01-12,4
2014-01-19,2
2014-01-26,0
2014-02-02,1
2014-02-09,2
2014-02-16,3
2014-02-23,0
2014-03-02,2
2014-03-09,0
2014-03-16,3
2014-03-23,4
2014-03-30,5
2014-04-06,5
2014-04-13,6
2014-04-20,8
2014-04-27,8
2014-05-04,2
2014-05-11,3
2014-05-18,8
2014-05-25,5
2014-06-01,1
2014-06-08,3
2014-06-15,0
2014-06-22,2
2014-06-29,1
2014-07-06,3
2014-07-13,2
2014-07-20,2
2014-07-27,1
2014-08-03,1
2014-08-10,1
2014-08-17,0
2014-08-24,1
2014-08-31,4
2014-09-07,1
2014-09-14,0
2014-09-21,4
2014-09-28,4
2014-10-05,5
2014-10-12,7
2014-10-19,0
2014-10-26,5
2014-11-02,0
2014-11-09,4
2014-11-16,4
2014-11-23,2
2014-11-30,0
2014-12-07,1
2014-12-14,0
2014-12-21,3
2014-12-28,2
2015-01-04,11
2015-01-11,16
2015-01-18,34
2015-01-25,82
2015-02-01,126
2015-02-08,170
2015-02-15,161
2015-02-22,194
2015-03-01,232
2015-03-08,293
2015-03-15,363
2015-03-22,374
2015-03-29,334
2015-04-05,393
2015-04-12,343
2015-04-19,287
2015-04-26,226
2015-05-03,209
2015-05-10,146
2015-05-17,116
2015-05-24,76
2015-05-31,48
2015-06-07,36
2015-06-14,24
2015-06-21,18
2015-06-28,10
2015-07-05,7
2015-07-12,7
2015-07-19,10
2015-07-26,4
2015-08-02,4
2015-08-09,2
2015-08-16,7
2015-08-23,5
2015-08-30,4
2015-09-06,1
2015-09-13,7
2015-09-20,6
2015-09-27,0
2015-10-04,5
2015-10-11,4
2015-10-18,0
2015-10-25,7
2015-11-01,10
2015-11-08,7
2015-11-15,11
2015-11-22,11
2015-11-29,14
2015-12-06,21
2015-12-13,12
2015-12-20,34
2015-12-27,43
2016-01-03,69
2016-01-10,60
2016-01-17,106
2016-01-24,132
2016-01-31,174
2016-02-07,308
2016-02-14,362
2016-02-21,378
2016-02-28,551
2016-03-06,485
2016-03-13,351
2016-03-20,376
2016-03-27,354
2016-04-03,269
2016-04-10,295
2016-04-17,280
2016-04-24,236
2016-05-01,84
2016-05-08,38
2016-05-15,27
2016-05-22,14
2016-05-29,9
2016-06-05,6
2016-06-12,2
2016-06-19,2
2016-06-26,5
2016-07-03,5
2016-07-10,6
2016-07-17,4
2016-07-24,9
2016-07-31,6
2016-08-07,4
2016-08-14,3
2016-08-21,2
2016-08-28,4
2016-09-04,5
2016-09-11,3
2016-09-18,1
2016-09-25,4
2016-10-02,2
2016-10-09,4
2016-10-16,7
2016-10-23,8
2016-10-30,6
2016-11-06,7
2016-11-13,5
2016-11-20,9
2016-11-27,6
2016-12-04,9
2016-12-11,9
2016-12-18,7
2016-12-25,12
2017-01-01,9
2017-01-08,12
2017-01-15,6
2017-01-22,6
2017-01-29,3
2017-02-05,4
2017-02-12,5
2017-02-19,2
2017-02-26,9
2017-03-05,8
2017-03-12,7
2017-03-19,3
2017-03-26,4
2017-04-02,4
2017-04-09,2
2017-04-16,5
2017-04-23,9
2017-04-30,4
2017-05-07,4
2017-05-14,2
2017-05-21,3
2017-05-28,4
2017-06-04,2
2017-06-11,1
2017-06-18,4
2017-06-25,1
2017-07-02,1
2017-07-09,1
2017-07-16,0
2017-07-23,3
2017-07-30,0
2017-08-06,2
2017-08-13,0
2017-08-20,1
2017-08-27,2
2017-09-03,1
2017-09-10,4
2017-09-17,1
2017-09-24,3
2017-10-01,2
2017-10-08,5
2017-10-15,2
2017-10-22,4
2017-10-29,3
2017-11-05,3
2017-11-12,4
2017-11-19,2
2017-11-26,4
2017-12-03,2
2017-12-10,4
2017-12-17,5
2017-12-24,0
2017-12-31,4
2018-01-07,2
2018-01-14,5
2018-01-21,7
2018-01-28,3
2018-02-04,3
2018-02-11,4
2018-02-18,9
2018-02-25,6
2018-03-04,4
2018-03-11,7
2018-03-18,0
2018-03-25,2
2018-04-01,5
2018-04-08,7
2018-04-15,8
2018-04-22,13
2018-04-29,8
2018-05-06,5
2018-05-13,9
2018-05-20,5
2018-05-27,2
2018-06-03,3
2018-06-10,3
2018-06-17,1
2018-06-24,3
2018-07-01,0
2018-07-08,1
2018-07-15,1
2018-07-22,2
2018-07-29,3
