date,value
2010-01-03,3
2010-01-10,7
2010-01-17,5
2010-01-24,4
2010-01-31,3
2010-02-07,1
2010-02-14,1
2010-02-21,3
2010-02-28,7
2010-03-07,6
2010-03-14,4
2010-03-21,10
2010-03-28,12
2010-04-04,11
2010-04-11,15
2010-04-18,16
2010-04-25,14
2010-05-02,21
2010-05-09,29
2010-05-16,38
2010-05-23,26
2010-05-30,21
2010-06-06,20
2010-06-13,16
2010-06-20,18
2010-06-27,8
2010-07-04,14
2010-07-11,21
2010-07-18,15
2010-07-25,23
2010-08-01,19
2010-08-08,32
2010-08-15,18
2010-08-22,23
2010-08-29,13
2010-09-05,14
2010-09-12,12
2010-09-19,21
2010-09-26,11
2010-10-03,11
2010-10-10,11
2010-10-17,17
2010-10-24,15
2010-10-31,17
2010-11-07,21
2010-11-14,23
2010-11-21,28
2010-11-28,18
2010-12-05,31
2010-12-12,53
2010-12-19,24
2010-12-26,24
2011-01-02,27
2011-01-09,40
2011-01-16,33
2011-01-23,29
2011-01-30,43
2011-02-06,61
2011-02-13,60
2011-02-20,45
2011-02-27,35
2011-03-06,61
2011-03-13,84
2011-03-20,107
2011-03-27,114
2011-04-03,109
2011-04-10,99
2011-04-17,88
2011-04-24,113
2011-05-01,76
2011-05-08,140
2011-05-15,152
2011-05-22,126
2011-05-29,103
2011-06-05,90
2011-06-12,83
2011-06-19,90
2011-06-26,102
2011-07-03,94
2011-07-10,87
2011-07-17,112
2011-07-24,96
2011-07-31,84
2011-08-07,75
2011-08-14,76
2011-08-21,61
2011-08-28,65
2011-09-04,57
2011-09-11,70
2011-09-18,35
2011-09-25,39
2011-10-02,57
2011-10-09,55
2011-10-16,56
2011-10-23,47
2011-10-30,46
2011-11-06,41
2011-11-13,46
2011-11-20,62
2011-11-27,77
2011-12-04,82
2011-12-11,100
2011-12-18,67
2011-12-25,85
2012-01-01,112
2012-01-08,85
2012-01-15,105
2012-01-22,103
2012-01-29,133
2012-02-05,172
2012-02-12,109
2012-02-19,147
2012-02-26,161
2012-03-04,154
2012-03-11,146
2012-03-18,197
2012-03-25,182
2012-04-01,222
2012-04-08,239
2012-04-15,246
2012-04-22,204
2012-04-29,224
2012-05-06,174
2012-05-13,163
2012-05-20,146
2012-05-27,106
2012-06-03,108
2012-06-10,101
2012-06-17,81
2012-06-24,64
2012-07-01,88
2012-07-08,89
2012-07-15,68
2012-07-22,48
2012-07-29,46
2012-08-05,50
2012-08-12,39
2012-08-19,26
2012-08-26,30
2012-09-02,23
2012-09-09,28
2012-09-16,25
2012-09-23,27
2012-09-30,21
2012-10-07,19
2012-10-14,27
2012-10-21,16
2012-10-28,10
2012-11-04,12
2012-11-11,11
2012-11-18,11
2012-11-25,6
2012-12-02,2
2012-12-09,8
2012-12-16,5
2012-12-23,3
2012-12-30,10
2013-01-06,8
2013-01-13,8
2013-01-20,9
2013-01-27,3
2013-02-03,16
2013-02-10,15
2013-02-17,11
2013-02-24,13
2013-03-03,17
2013-03-10,6
2013-03-17,11
2013-03-24,11
2013-03-31,16
2013-04-07,24
2013-04-14,14
2013-04-21,31
2013-04-28,9
2013-05-05,32
2013-05-12,37
2013-05-19,44
2013-05-26,36
2013-06-02,27
