date,value
2010-01-03,1628
2010-01-10,2461
2010-01-17,2894
2010-01-24,3952
2010-01-31,5372
2010-02-07,7808
2010-02-14,10841
2010-02-21,12566
2010-02-28,14213
2010-03-07,14241
2010-03-14,15875
2010-03-21,15865
2010-03-28,15969
2010-04-04,14526
2010-04-11,10881
2010-04-18,10891
2010-04-25,12492
2010-05-02,10497
2010-05-09,7306
2010-05-16,4431
2010-05-23,3071
2010-05-30,2119
2010-06-06,1483
2010-06-13,897
2010-06-20,626
2010-06-27,489
2010-07-04,312
2010-07-11,319
2010-07-18,239
2010-07-25,245
2010-08-01,187
2010-08-08,175
2010-08-15,136
2010-08-22,110
2010-08-29,113
2010-09-05,111
2010-09-12,113
2010-09-19,117
2010-09-26,82
2010-10-03,83
2010-10-10,103
2010-10-17,89
2010-10-24,94
2010-10-31,111
2010-11-07,104
2010-11-14,127
2010-11-21,168
2010-11-28,218
2010-12-05,262
2010-12-12,308
2010-12-19,284
2010-12-26,377
2011-01-02,523
2011-01-09,665
2011-01-16,953
2011-01-23,1172
2011-01-30,1955
2011-02-06,2611
2011-02-13,3026
2011-02-20,3455
2011-02-27,4244
2011-03-06,3632
2011-03-13,5618
2011-03-20,6575
2011-03-27,6504
2011-04-03,8853
2011-04-10,8662
2011-04-17,8366
2011-04-24,10125
2011-05-01,7612
2011-05-08,6318
2011-05-15,5467
2011-05-22,3099
2011-05-29,2043
2011-06-05,1075
2011-06-12,674
2011-06-19,408
2011-06-26,383
2011-07-03,215
2011-07-10,177
2011-07-17,169
2011-07-24,136
2011-07-31,111
2011-08-07,116
2011-08-14,97
2011-08-21,83
2011-08-28,109
2011-09-04,113
2011-09-11,114
2011-09-18,147
2011-09-25,138
2011-10-02,162
2011-10-09,118
2011-10-16,136
2011-10-23,130
2011-10-30,113
2011-11-06,111
2011-11-13,154
2011-11-20,132
2011-11-27,162
2011-12-04,216
2011-12-11,249
2011-12-18,286
2011-12-25,242
2012-01-01,328
2012-01-08,365
2012-01-15,358
2012-01-22,415
2012-01-29,579
2012-02-05,645
2012-02-12,747
2012-02-19,837
2012-02-26,1069
2012-03-04,1303
2012-03-11,1413
2012-03-18,1443
2012-03-25,1398
2012-04-01,1394
2012-04-08,1715
2012-04-15,2093
2012-04-22,1876
2012-04-29,1714
2012-05-06,1056
2012-05-13,1068
2012-05-20,800
2012-05-27,655
2012-06-03,545
2012-06-10,487
2012-06-17,431
2012-06-24,315
2012-07-01,233
2012-07-08,175
2012-07-15,125
2012-07-22,137
2012-07-29,140
2012-08-05,120
2012-08-12,89
2012-08-19,86
2012-08-26,66
2012-09-02,54
2012-09-09,81
2012-09-16,82
2012-09-23,62
2012-09-30,90
2012-10-07,96
2012-10-14,126
2012-10-21,126
2012-10-28,202
2012-11-04,165
2012-11-11,179
2012-11-18,264
2012-11-25,289
2012-12-02,322
2012-12-09,360
2012-12-16,471
2012-12-23,624
2012-12-30,1473
2013-01-06,2200
2013-01-13,2938
2013-01-20,3762
2013-01-27,4760
2013-02-03,5402
2013-02-10,6250
2013-02-17,9474
2013-02-24,12700
2013-03-03,15286
2013-03-10,19087
2013-03-17,18943
2013-03-24,15205
2013-03-31,18661
2013-04-07,18793
2013-04-14,16849
2013-04-21,11461
2013-04-28,8527
2013-05-05,8514
2013-05-12,6220
2013-05-19,4116
2013-05-26,2556
2013-06-02,1849
2013-06-09,1542
2013-06-16,1176
2013-06-23,712
2013-06-30,447
2013-07-07,409
2013-07-14,328
2013-07-21,163
2013-07-28,181
2013-08-04,166
2013-08-11,153
2013-08-18,126
2013-08-25,111
2013-09-01,104
2013-09-08,104
2013-09-15,129
2013-09-22,110
2013-09-29,85
2013-10-06,102
2013-10-13,130
2013-10-20,145
2013-10-27,149
2013-11-03,161
2013-11-10,150
2013-11-17,195
2013-11-24,215
2013-12-01,231
2013-12-08,200
2013-12-15,197
2013-12-22,213
2013-12-29,260
2014-01-05,428
2014-01-12,620
2014-01-19,830
2014-01-26,1279
2014-02-02,1778
2014-02-09,3011
2014-02-16,3670
2014-02-23,3725
2014-03-02,4649
2014-03-09,6128
2014-03-16,8712
2014-03-23,12791
2014-03-30,15646
2014-04-06,20100
2014-04-13,23519
2014-04-20,22296
2014-04-27,19635
2014-05-04,15564
2014-05-11,14588
2014-05-18,10226
2014-05-25,7427
2014-06-01,4679
2014-06-08,3445
2014-06-15,2863
2014-06-22,2112
2014-06-29,1460
2014-07-06,1096
2014-07-13,810
2014-07-20,741
2014-07-27,526
2014-08-03,395
2014-08-10,348
2014-08-17,316
2014-08-24,333
2014-08-31,337
2014-09-07,331
2014-09-14,362
2014-09-21,318
2014-09-28,356
2014-10-05,373
2014-10-12,399
2014-10-19,433
2014-10-26,494
2014-11-02,582
2014-11-09,587
2014-11-16,735
2014-11-23,702
2014-11-30,949
2014-12-07,1160
2014-12-14,1212
2014-12-21,1458
2014-12-28,2351
2015-01-04,4922
2015-01-11,7360
2015-01-18,13278
2015-01-25,18581
2015-02-01,24696
2015-02-08,26487
2015-02-15,32130
2015-02-22,40325
2015-03-01,52604
2015-03-08,60261
2015-03-15,63682
2015-03-22,54823
2015-03-29,47711
2015-04-05,54018
2015-04-12,47792
2015-04-19,44101
2015-04-26,39129
2015-05-03,29205
2015-05-10,19806
2015-05-17,13626
2015-05-24,9425
2015-05-31,6805
2015-06-07,4871
2015-06-14,3879
2015-06-21,2389
2015-06-28,1454
2015-07-05,799
2015-07-12,850
2015-07-19,924
2015-07-26,652
2015-08-02,515
2015-08-09,565
2015-08-16,451
2015-08-23,367
2015-08-30,298
2015-09-06,309
2015-09-13,374
2015-09-20,394
2015-09-27,418
2015-10-04,412
2015-10-11,469
2015-10-18,489
2015-10-25,519
2015-11-01,655
2015-11-08,828
2015-11-15,1004
2015-11-22,1257
2015-11-29,1560
2015-12-06,2050
2015-12-13,2410
2015-12-20,2759
2015-12-27,3967
2016-01-03,5761
2016-01-10,7080
2016-01-17,8508
2016-01-24,10179
2016-01-31,10465
2016-02-07,12595
2016-02-14,13029
2016-02-21,12514
2016-02-28,12205
2016-03-06,11598
2016-03-13,11558
2016-03-20,10572
2016-03-27,10430
2016-04-03,9476
2016-04-10,8135
2016-04-17,6995
2016-04-24,5509
2016-05-01,3492
2016-05-08,2253
2016-05-15,1722
2016-05-22,1113
2016-05-29,741
2016-06-05,448
2016-06-12,394
2016-06-19,291
2016-06-26,262
2016-07-03,200
2016-07-10,201
2016-07-17,134
2016-07-24,151
2016-07-31,135
2016-08-07,131
2016-08-14,117
2016-08-21,130
2016-08-28,120
2016-09-04,121
2016-09-11,129
2016-09-18,119
2016-09-25,149
2016-10-02,131
2016-10-09,197
2016-10-16,241
2016-10-23,189
2016-10-30,235
2016-11-06,278
2016-11-13,270
2016-11-20,252
2016-11-27,262
2016-12-04,253
2016-12-11,213
2016-12-18,249
2016-12-25,254
2017-01-01,186
2017-01-08,234
2017-01-15,220
2017-01-22,214
2017-01-29,272
2017-02-05,259
2017-02-12,282
2017-02-19,297
2017-02-26,246
2017-03-05,272
2017-03-12,256
2017-03-19,264
2017-03-26,241
2017-04-02,236
2017-04-09,224
2017-04-16,236
2017-04-23,161
2017-04-30,175
2017-05-07,144
2017-05-14,142
2017-05-21,120
2017-05-28,144
2017-06-04,89
2017-06-11,92
2017-06-18,80
2017-06-25,90
2017-07-02,66
2017-07-09,78
2017-07-16,65
2017-07-23,55
2017-07-30,66
2017-08-06,87
2017-08-13,75
2017-08-20,100
2017-08-27,118
2017-09-03,113
2017-09-10,153
2017-09-17,202
2017-09-24,193
2017-10-01,222
2017-10-08,232
2017-10-15,220
2017-10-22,216
2017-10-29,208
2017-11-05,235
2017-11-12,227
2017-11-19,198
2017-11-26,246
2017-12-03,235
2017-12-10,228
2017-12-17,191
2017-12-24,183
2017-12-31,219
2018-01-07,285
2018-01-14,315
2018-01-21,298
2018-01-28,332
2018-02-04,280
2018-02-11,329
2018-02-18,359
2018-02-25,393
2018-03-04,448
2018-03-11,497
2018-03-18,462
2018-03-25,455
2018-04-01,585
2018-04-08,573
2018-04-15,607
2018-04-22,494
2018-04-29,603
2018-05-06,592
2018-05-13,488
2018-05-20,395
2018-05-27,293
2018-06-03,289
2018-06-10,258
2018-06-17,241
2018-06-24,208
2018-07-01,193
2018-07-08,162
2018-07-15,160
2018-07-22,162
2018-07-29,165
2018-08-05,116
2018-08-12,102
2018-08-19,123
2018-08-26,96
2018-09-02,91
2018-09-09,108
2018-09-16,114
2018-09-23,141
2018-09-30,139
2018-10-07,146
2018-10-14,178
2018-10-21,213
2018-10-28,254
2018-11-04,332
2018-11-11,366
2018-11-18,512
2018-11-25,571
2018-12-02,732
2018-12-09,1067
2018-12-16,1066
2018-12-23,1508
2018-12-30,2449
2019-01-06,3285
2019-01-13,4913
2019-01-20,7092
2019-01-27,9082
2019-02-03,11464
2019-02-10,12450
2019-02-17,13163
2019-02-24,12199
2019-03-03,12818
2019-03-10,15556
2019-03-17,17859
2019-03-24,20611
2019-03-31,23485
2019-04-07,26853
2019-04-14,27345
2019-04-21,28934
2019-04-28,28729
2019-05-05,31058
2019-05-12,29982
2019-05-19,22956
2019-05-26,16154
2019-06-02,12471
2019-06-09,9527
2019-06-16,7434
2019-06-23,6183
2019-06-30,3610
2019-07-07,2429
2019-07-14,1695
2019-07-21,1509
2019-07-28,1181
2019-08-04,887
2019-08-11,701
2019-08-18,595
2019-08-25,478
2019-09-01,437
2019-09-08,504
2019-09-15,546
2019-09-22,476
2019-09-29,508
2019-10-06,584
2019-10-13,564
2019-10-20,593
2019-10-27,739
2019-11-03,834
2019-11-10,889
2019-11-17,1095
2019-11-24,1321
2019-12-01,1604
2019-12-08,1699
2019-12-15,1714
2019-12-22,1568
2019-12-29,3556
2020-01-05,5750
2020-01-12,7914
2020-01-19,10533
2020-01-26,11964
2020-02-02,15482
2020-02-09,16085
2020-02-16,12801
2020-02-23,13533
2020-03-01,14096
2020-03-08,11884
2020-03-15,8473
2020-03-22,8604
2020-03-29,8037
2020-04-05,7486
2020-04-12,7448
2020-04-19,6353
2020-04-26,5796
2020-05-03,5178
2020-05-10,4055
2020-05-17,2570
2020-05-24,1938
2020-05-31,1586
2020-06-07,1562
2020-06-14,1524
2020-06-21,1114
2020-06-28,786
2020-07-05,764
2020-07-12,691
2020-07-19,542
2020-07-26,511
2020-08-02,405
2020-08-09,392
2020-08-16,293
2020-08-23,294
2020-08-30,320
2020-09-06,331
2020-09-13,299
2020-09-20,337
2020-09-27,316
2020-10-04,295
2020-10-11,276
2020-10-18,296
2020-10-25,212
2020-11-01,254
2020-11-08,306
2020-11-15,281
