date,value
2010-01-03,231
2010-01-10,278
2010-01-17,357
2010-01-24,360
2010-01-31,367
2010-02-07,333
2010-02-14,398
2010-02-21,486
2010-02-28,484
2010-03-07,419
2010-03-14,445
2010-03-21,429
2010-03-28,400
2010-04-04,422
2010-04-11,411
2010-04-18,412
2010-04-25,376
2010-05-02,336
2010-05-09,239
2010-05-16,239
2010-05-23,183
2010-05-30,159
2010-06-06,139
2010-06-13,113
2010-06-20,79
2010-06-27,48
2010-07-04,45
2010-07-11,30
2010-07-18,24
2010-07-25,37
2010-08-01,33
2010-08-08,31
2010-08-15,27
2010-08-22,17
2010-08-29,19
2010-09-05,20
2010-09-12,11
2010-09-19,8
2010-09-26,10
2010-10-03,7
2010-10-10,21
2010-10-17,20
2010-10-24,18
2010-10-31,71
2010-11-07,82
2010-11-14,95
2010-11-21,100
2010-11-28,111
2010-12-05,93
2010-12-12,117
2010-12-19,84
2010-12-26,124
2011-01-02,179
2011-01-09,197
2011-01-16,218
2011-01-23,245
2011-01-30,269
2011-02-06,300
2011-02-13,223
2011-02-20,243
2011-02-27,228
2011-03-06,280
2011-03-13,307
2011-03-20,329
2011-03-27,309
2011-04-03,356
2011-04-10,271
2011-04-17,242
2011-04-24,285
2011-05-01,383
2011-05-08,418
2011-05-15,366
2011-05-22,393
2011-05-29,415
2011-06-05,318
2011-06-12,341
2011-06-19,206
2011-06-26,200
2011-07-03,189
2011-07-10,155
2011-07-17,129
2011-07-24,92
2011-07-31,109
2011-08-07,105
2011-08-14,110
2011-08-21,98
2011-08-28,98
2011-09-04,90
2011-09-11,93
2011-09-18,92
2011-09-25,104
2011-10-02,55
2011-10-09,75
2011-10-16,91
2011-10-23,97
2011-10-30,74
2011-11-06,76
2011-11-13,94
2011-11-20,138
2011-11-27,169
2011-12-04,204
2011-12-11,205
2011-12-18,170
2011-12-25,178
2012-01-01,287
2012-01-08,392
2012-01-15,412
2012-01-22,430
2012-01-29,546
2012-02-05,599
2012-02-12,574
2012-02-19,443
2012-02-26,420
2012-03-04,446
2012-03-11,472
2012-03-18,591
2012-03-25,507
2012-04-01,434
2012-04-08,491
2012-04-15,499
2012-04-22,412
2012-04-29,349
2012-05-06,330
2012-05-13,326
2012-05-20,273
2012-05-27,176
2012-06-03,142
2012-06-10,138
2012-06-17,142
2012-06-24,95
2012-07-01,97
2012-07-08,67
2012-07-15,78
2012-07-22,70
2012-07-29,38
2012-08-05,43
2012-08-12,44
2012-08-19,41
2012-08-26,27
2012-09-02,22
2012-09-09,30
2012-09-16,23
2012-09-23,37
2012-09-30,28
2012-10-07,34
2012-10-14,56
2012-10-21,73
2012-10-28,66
2012-11-04,60
2012-11-11,84
2012-11-18,94
2012-11-25,139
2012-12-02,138
2012-12-09,178
2012-12-16,115
2012-12-23,156
2012-12-30,258
2013-01-06,314
2013-01-13,331
2013-01-20,382
2013-01-27,387
2013-02-03,379
2013-02-10,423
2013-02-17,451
2013-02-24,497
2013-03-03,381
2013-03-10,411
2013-03-17,327
2013-03-24,325
2013-03-31,355
2013-04-07,322
2013-04-14,335
2013-04-21,319
2013-04-28,236
2013-05-05,255
2013-05-12,211
2013-05-19,201
2013-05-26,119
2013-06-02,118
2013-06-09,138
2013-06-16,98
2013-06-23,63
2013-06-30,41
2013-07-07,59
2013-07-14,38
2013-07-21,23
2013-07-28,28
2013-08-04,23
2013-08-11,42
2013-08-18,35
2013-08-25,21
2013-09-01,17
2013-09-08,23
2013-09-15,27
2013-09-22,34
2013-09-29,23
2013-10-06,26
2013-10-13,20
2013-10-20,37
2013-10-27,44
2013-11-03,54
2013-11-10,62
2013-11-17,77
2013-11-24,79
2013-12-01,98
2013-12-08,101
2013-12-15,86
2013-12-22,83
2013-12-29,134
2014-01-05,132
2014-01-12,129
2014-01-19,146
2014-01-26,121
2014-02-02,123
2014-02-09,140
2014-02-16,128
2014-02-23,107
2014-03-02,122
2014-03-09,129
2014-03-16,118
2014-03-23,97
2014-03-30,81
2014-04-06,96
2014-04-13,76
2014-04-20,94
2014-04-27,111
2014-05-04,95
2014-05-11,102
2014-05-18,97
2014-05-25,87
2014-06-01,106
2014-06-08,89
2014-06-15,53
2014-06-22,62
2014-06-29,36
2014-07-06,29
2014-07-13,24
2014-07-20,18
2014-07-27,32
2014-08-03,28
2014-08-10,28
2014-08-17,29
2014-08-24,24
2014-08-31,20
2014-09-07,16
2014-09-14,17
2014-09-21,24
2014-09-28,36
2014-10-05,33
2014-10-12,27
2014-10-19,39
2014-10-26,30
2014-11-02,38
2014-11-09,32
2014-11-16,39
2014-11-23,50
2014-11-30,52
2014-12-07,55
2014-12-14,55
2014-12-21,48
2014-12-28,40
2015-01-04,80
2015-01-11,67
2015-01-18,77
2015-01-25,94
2015-02-01,110
2015-02-08,163
2015-02-15,175
2015-02-22,197
2015-03-01,288
2015-03-08,301
2015-03-15,347
2015-03-22,384
2015-03-29,296
2015-04-05,332
2015-04-12,329
2015-04-19,277
2015-04-26,301
2015-05-03,312
2015-05-10,251
2015-05-17,292
2015-05-24,229
2015-05-31,164
2015-06-07,211
2015-06-14,187
2015-06-21,145
2015-06-28,116
2015-07-05,94
2015-07-12,94
2015-07-19,75
2015-07-26,83
2015-08-02,73
2015-08-09,73
2015-08-16,57
2015-08-23,42
2015-08-30,49
2015-09-06,21
2015-09-13,32
2015-09-20,46
2015-09-27,34
2015-10-04,35
2015-10-11,42
2015-10-18,53
2015-10-25,35
2015-11-01,61
2015-11-08,75
2015-11-15,102
2015-11-22,121
2015-11-29,200
2015-12-06,227
2015-12-13,210
2015-12-20,198
2015-12-27,229
2016-01-03,352
2016-01-10,411
2016-01-17,369
2016-01-24,464
2016-01-31,463
2016-02-07,502
2016-02-14,611
2016-02-21,489
2016-02-28,399
2016-03-06,371
2016-03-13,254
2016-03-20,214
2016-03-27,244
2016-04-03,227
2016-04-10,234
2016-04-17,210
2016-04-24,222
2016-05-01,237
2016-05-08,217
2016-05-15,145
2016-05-22,104
2016-05-29,116
2016-06-05,90
2016-06-12,50
2016-06-19,42
2016-06-26,31
2016-07-03,34
2016-07-10,34
2016-07-17,26
2016-07-24,24
2016-07-31,18
2016-08-07,12
2016-08-14,26
2016-08-21,13
2016-08-28,17
2016-09-04,10
2016-09-11,18
2016-09-18,12
2016-09-25,14
2016-10-02,18
2016-10-09,14
2016-10-16,12
2016-10-23,27
2016-10-30,31
2016-11-06,29
2016-11-13,37
2016-11-20,41
2016-11-27,51
2016-12-04,45
2016-12-11,44
2016-12-18,24
2016-12-25,54
2017-01-01,100
2017-01-08,119
2017-01-15,130
2017-01-22,171
2017-01-29,184
2017-02-05,181
2017-02-12,240
2017-02-19,173
2017-02-26,214
2017-03-05,175
2017-03-12,211
2017-03-19,259
2017-03-26,192
2017-04-02,207
2017-04-09,205
2017-04-16,226
2017-04-23,174
2017-04-30,210
2017-05-07,187
2017-05-14,187
2017-05-21,171
2017-05-28,119
2017-06-04,105
2017-06-11,68
2017-06-18,63
2017-06-25,51
2017-07-02,32
2017-07-09,27
2017-07-16,29
2017-07-23,31
2017-07-30,44
2017-08-06,22
2017-08-13,27
2017-08-20,13
2017-08-27,15
2017-09-03,11
2017-09-10,18
2017-09-17,14
2017-09-24,10
2017-10-01,20
2017-10-08,13
2017-10-15,22
2017-10-22,27
2017-10-29,19
2017-11-05,14
2017-11-12,22
2017-11-19,29
2017-11-26,38
2017-12-03,24
2017-12-10,26
2017-12-17,23
2017-12-24,21
2017-12-31,30
2018-01-07,37
2018-01-14,54
2018-01-21,49
2018-01-28,49
2018-02-04,40
2018-02-11,33
2018-02-18,38
2018-02-25,52
2018-03-04,66
2018-03-11,58
2018-03-18,74
2018-03-25,67
2018-04-01,110
2018-04-08,108
2018-04-15,92
2018-04-22,97
2018-04-29,95
2018-05-06,106
2018-05-13,84
2018-05-20,45
2018-05-27,53
2018-06-03,35
2018-06-10,27
2018-06-17,21
2018-06-24,21
2018-07-01,21
2018-07-08,17
2018-07-15,8
2018-07-22,8
2018-07-29,9
2018-08-05,20
2018-08-12,14
2018-08-19,22
2018-08-26,6
2018-09-02,14
2018-09-09,11
2018-09-16,16
2018-09-23,16
2018-09-30,14
2018-10-07,14
2018-10-14,23
2018-10-21,18
2018-10-28,39
2018-11-04,60
2018-11-11,58
2018-11-18,93
2018-11-25,136
2018-12-02,174
2018-12-09,185
2018-12-16,228
2018-12-23,248
2018-12-30,394
2019-01-06,482
2019-01-13,592
2019-01-20,596
2019-01-27,748
2019-02-03,864
2019-02-10,656
2019-02-17,693
2019-02-24,602
2019-03-03,518
2019-03-10,666
2019-03-17,676
2019-03-24,628
2019-03-31,645
2019-04-07,598
2019-04-14,523
2019-04-21,520
2019-04-28,503
2019-05-05,428
2019-05-12,383
2019-05-19,347
2019-05-26,267
2019-06-02,155
2019-06-09,123
2019-06-16,85
2019-06-23,68
2019-06-30,47
2019-07-07,31
2019-07-14,20
2019-07-21,21
2019-07-28,18
2019-08-04,28
2019-08-11,16
2019-08-18,18
2019-08-25,15
2019-09-01,15
2019-09-08,14
2019-09-15,11
2019-09-22,7
2019-09-29,17
2019-10-06,18
2019-10-13,28
2019-10-20,42
2019-10-27,37
2019-11-03,44
2019-11-10,52
2019-11-17,59
2019-11-24,69
2019-12-01,67
2019-12-08,89
2019-12-15,43
2019-12-22,30
2019-12-29,37
2020-01-05,67
2020-01-12,61
2020-01-19,73
2020-01-26,72
2020-02-02,96
2020-02-09,99
2020-02-16,93
2020-02-23,91
2020-03-01,123
2020-03-08,118
2020-03-15,67
2020-03-22,51
2020-03-29,48
2020-04-05,53
2020-04-12,60
2020-04-19,64
2020-04-26,49
2020-05-03,42
2020-05-10,43
2020-05-17,35
2020-05-24,36
2020-05-31,29
2020-06-07,37
2020-06-14,33
2020-06-21,33
2020-06-28,31
2020-07-05,20
2020-07-12,34
2020-07-19,17
2020-07-26,25
2020-08-02,13
2020-08-09,12
2020-08-16,14
2020-08-23,8
2020-08-30,10
2020-09-06,7
2020-09-13,11
2020-09-20,7
2020-09-27,10
2020-10-04,3
2020-10-11,6
2020-10-18,5
2020-10-25,4
2020-11-01,3
2020-11-08,11
2020-11-15,10
2020-11-22,8
2020-11-29,5
2020-12-06,12
2020-12-13,14
2020-12-20,10
2020-12-27,4
2021-01-03,13
2021-01-10,5
2021-01-17,11
2021-01-24,21
2021-01-31,27
2021-02-07,30
2021-02-14,57
2021-02-21,49
2021-02-28,45
2021-03-07,69
2021-03-14,53
2021-03-21,64
2021-03-28,91
2021-04-04,99
2021-04-11,98
2021-04-18,97
2021-04-25,98
2021-05-02,122
2021-05-09,129
2021-05-16,149
2021-05-23,125
2021-05-30,139
2021-06-06,149
2021-06-13,119
2021-06-20,111
2021-06-27,98
2021-07-04,76
2021-07-11,92
2021-07-18,85
2021-07-25,63
2021-08-01,78
2021-08-08,56
2021-08-15,86
2021-08-22,56
2021-08-29,60
2021-09-05,78
2021-09-12,69
2021-09-19,56
2021-09-26,62
2021-10-03,50
2021-10-10,85
2021-10-17,110
2021-10-24,139
2021-10-31,198
2021-11-07,271
2021-11-14,475
2021-11-21,706
2021-11-28,1091
2021-12-05,1361
2021-12-12,1458
2021-12-19,771
2021-12-26,205
2022-01-02,1243
2022-01-09,1169
2022-01-16,1051
2022-01-23,1078
2022-01-30,1114
2022-02-06,971
2022-02-13,849
2022-02-20,662
2022-02-27,682
2022-03-06,633
2022-03-13,630
2022-03-20,624
2022-03-27,683
2022-04-03,740
2022-04-10,731
2022-04-17,749
2022-04-24,730
2022-05-01,749
2022-05-08,707
2022-05-15,636
2022-05-22,567
2022-05-29,513
2022-06-05,407
2022-06-12,359
2022-06-19,288
2022-06-26,258
2022-07-03,215
2022-07-10,169
2022-07-17,147
2022-07-24,135
2022-07-31,139
2022-08-07,96
2022-08-14,97
2022-08-21,80
2022-08-28,74
2022-09-04,41
2022-09-11,66
2022-09-18,61
2022-09-25,73
2022-10-02,55
2022-10-09,47
2022-10-16,47
2022-10-23,55
2022-10-30,47
2022-11-06,54
2022-11-13,74
2022-11-20,97
2022-11-27,83
2022-12-04,110
2022-12-11,121
2022-12-18,72
2022-12-25,54
2023-01-01,63
2023-01-08,89
2023-01-15,185
2023-01-22,151
2023-01-29,118
2023-02-05,143
2023-02-12,109
2023-02-19,152
2023-02-26,139
2023-03-05,127
2023-03-12,141
2023-03-19,184
2023-03-26,214
2023-04-02,177
2023-04-09,222
2023-04-16,151
2023-04-23,151
2023-04-30,110
2023-05-07,112
2023-05-14,142
2023-05-21,101
2023-05-28,87
2023-06-04,60
2023-06-11,64
2023-06-18,44
2023-06-25,34
2023-07-02,35
2023-07-09,27
2023-07-16,28
2023-07-23,41
2023-07-30,30
2023-08-06,23
2023-08-13,26
2023-08-20,18
2023-08-27,18
2023-09-03,15
2023-09-10,19
2023-09-17,16
2023-09-24,16
2023-10-01,11
2023-10-08,14
2023-10-15,34
2023-10-22,13
2023-10-29,28
2023-11-05,33
2023-11-12,27
2023-11-19,53
2023-11-26,69
2023-12-03,68
2023-12-10,84
2023-12-17,80
2023-12-24,71
2023-12-31,48
2024-01-07,53
2024-01-14,61
2024-01-21,61
2024-01-28,118
2024-02-04,129
2024-02-11,131
2024-02-18,174
2024-02-25,232
2024-03-03,252
2024-03-10,253
2024-03-17,286
2024-03-24,232
2024-03-31,252
2024-04-07,318
2024-04-14,348
2024-04-21,272
2024-04-28,247
2024-05-05,198
2024-05-12,208
2024-05-19,164
2024-05-26,133
2024-06-02,78
2024-06-09,63
2024-06-16,51
2024-06-23,40
2024-06-30,39
2024-07-07,19
2024-07-14,15
2024-07-21,15
2024-07-28,18
2024-08-04,10
2024-08-11,9
2024-08-18,12
2024-08-25,14
2024-09-01,11
2024-09-08,14
2024-09-15,15
2024-09-22,4
2024-09-29,7
2024-10-06,5
2024-10-13,7
2024-10-20,14
2024-10-27,10
2024-11-03,14
2024-11-10,13
2024-11-17,29
2024-11-24,18
2024-12-01,21
2024-12-08,30
2024-12-15,16
2024-12-22,18
2024-12-29,29
2025-01-05,48
2025-01-12,50
2025-01-19,89
2025-01-26,73
2025-02-02,81
2025-02-09,113
2025-02-16,85
2025-02-23,74
2025-03-02,81
2025-03-09,81
2025-03-16,98
2025-03-23,64
2025-03-30,92
2025-04-06,78
2025-04-13,101
2025-04-20,111
2025-04-27,111
2025-05-04,103
2025-05-11,132
2025-05-18,83
2025-05-25,83
2025-06-01,78
2025-06-08,52
2025-06-15,68
2025-06-22,53
2025-06-29,44
2025-07-06,44
2025-07-13,30
2025-07-20,26
2025-07-27,36
2025-08-03,30
2025-08-10,48
2025-08-17,34
2025-08-24,30
2025-08-31,25
2025-09-07,17
2025-09-14,16
2025-09-21,13
2025-09-28,9
2025-10-05,20
2025-10-12,29
2025-10-19,37
2025-10-26,34
2025-11-02,35
2025-11-09,45
2025-11-16,46
2025-11-23,83
2025-11-30,87
2025-12-07,98
2025-12-14,96
2025-12-21,117
2025-12-28,162
2026-01-04,546
2026-01-11,849
2026-01-18,980
2026-01-25,1329
2026-02-01,1748
2026-02-08,1716
2026-02-15,1717
2026-02-22,1874
2026-03-01,1821
2026-03-08,1158
2026-03-15,768
2026-03-22,740
2026-03-29,780
2026-04-05,904
2026-04-12,845
2026-04-19,821
2026-04-26,795
2026-05-03,824
2026-05-10,712
2026-05-17,700
2026-05-24,723
2026-05-31,634
2026-06-07,549
2026-06-14,488
2026-06-21,363
